Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Mike Moustakas,2022-07-10,CIN,TBR,7,1B,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Mike Moustakas,2022-07-09,CIN,TBR,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Mike Moustakas,2022-07-08,CIN,TBR,6,PH-1B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mike Moustakas,2022-07-07,CIN,PIT,6,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Mike Moustakas,2022-07-07,CIN,PIT,6,1B,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Mike Moustakas,2022-07-06,CIN,NYM,1,PH-DH,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Mike Moustakas,2022-07-05,CIN,NYM,6,1B,1,2,4,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,.000
Mike Moustakas,2022-07-04,CIN,NYM,5,DH,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Mike Moustakas,2022-07-03,CIN,ATL,5,DH,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Mike Moustakas,2022-07-02,CIN,ATL,6,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Mike Moustakas,2022-06-30,CIN,@CHC,6,DH-3B,1,4,4,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,.250
Mike Moustakas,2022-06-25,CIN,@SFG,6,DH,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Mike Moustakas,2022-06-24,CIN,@SFG,6,DH,1,4,4,2,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,.500
Mike Moustakas,2022-06-23,CIN,LAD,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Mike Moustakas,2022-06-21,CIN,LAD,6,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mike Moustakas,2022-06-19,CIN,MIL,7,DH,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Mike Moustakas,2022-06-18,CIN,MIL,7,1B,1,2,4,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,.500
Mike Moustakas,2022-06-17,CIN,MIL,7,1B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Mike Moustakas,2022-06-15,CIN,@ARI,5,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Mike Moustakas,2022-06-14,CIN,@ARI,7,DH,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.500
Mike Moustakas,2022-06-13,CIN,@ARI,7,3B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Mike Moustakas,2022-06-05,CIN,WSN,8,PH-3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mike Moustakas,2022-06-04,CIN,WSN,7,3B,1,3,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,.000
Mike Moustakas,2022-06-03,CIN,WSN,6,DH,1,2,4,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.500
Mike Moustakas,2022-06-02,CIN,WSN,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mike Moustakas,2022-06-01,CIN,@BOS,7,DH,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Mike Moustakas,2022-05-31,CIN,@BOS,7,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Mike Moustakas,2022-05-29,CIN,SFG,7,3B,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Mike Moustakas,2022-05-27,CIN,SFG,6,1B,1,1,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,.000
Mike Moustakas,2022-05-25,CIN,CHC,5,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000
Mike Moustakas,2022-05-24,CIN,CHC,6,DH,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mike Moustakas,2022-05-23,CIN,CHC,7,3B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Mike Moustakas,2022-05-21,CIN,@TOR,6,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mike Moustakas,2022-05-20,CIN,@TOR,6,DH,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.000
Mike Moustakas,2022-05-19,CIN,@CLE,4,3B-1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Mike Moustakas,2022-05-17,CIN,@CLE,4,DH,1,3,5,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,.333
Mike Moustakas,2022-05-15,CIN,@PIT,4,DH,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Mike Moustakas,2022-05-14,CIN,@PIT,4,3B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Mike Moustakas,2022-05-13,CIN,@PIT,4,3B,1,5,5,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,.400
Mike Moustakas,2022-05-12,CIN,@PIT,4,DH,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Mike Moustakas,2022-05-11,CIN,MIL,4,3B,1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.200
Mike Moustakas,2022-05-10,CIN,MIL,4,DH,1,3,4,2,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,.667
Mike Moustakas,2022-05-08,CIN,PIT,3,DH,1,2,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,.000
Mike Moustakas,2022-05-07,CIN,PIT,4,DH,1,5,5,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.400
Mike Moustakas,2022-05-07,CIN,PIT,4,3B,1,2,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,.000
Mike Moustakas,2022-05-05,CIN,@MIL,4,3B,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Mike Moustakas,2022-05-04,CIN,@MIL,4,DH,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
