Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Mitch Haniger,2022-04-29,SEA,@MIA,4,DH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Mitch Haniger,2022-04-15,SEA,HOU,4,RF,1,5,5,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.400
Mitch Haniger,2022-04-14,SEA,@CHW,4,DH,1,4,5,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.250
Mitch Haniger,2022-04-13,SEA,@CHW,3,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mitch Haniger,2022-04-12,SEA,@CHW,4,RF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Mitch Haniger,2022-04-11,SEA,@MIN,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mitch Haniger,2022-04-10,SEA,@MIN,4,DH,1,4,4,2,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,.500
Mitch Haniger,2022-04-09,SEA,@MIN,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mitch Haniger,2022-04-08,SEA,@MIN,4,RF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,.250
Mitch Haniger,2021-10-03,SEA,LAA,3,RF,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Mitch Haniger,2021-10-02,SEA,LAA,3,RF,1,5,5,4,3,0,0,1,1,5,0,0,1,0,0,0,0,0,0,.800
Mitch Haniger,2021-10-01,SEA,LAA,3,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Mitch Haniger,2021-09-29,SEA,OAK,4,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Mitch Haniger,2021-09-28,SEA,OAK,4,RF,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.333
Mitch Haniger,2021-09-27,SEA,OAK,3,RF,1,5,5,2,0,0,0,2,2,6,0,0,1,0,0,0,0,0,0,.400
Mitch Haniger,2021-09-26,SEA,@LAA,4,DH,1,5,5,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,.200
Mitch Haniger,2021-09-25,SEA,@LAA,4,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Mitch Haniger,2021-09-24,SEA,@LAA,3,RF,1,3,4,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,.333
Mitch Haniger,2021-09-23,SEA,@OAK,4,RF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Mitch Haniger,2021-09-22,SEA,@OAK,3,RF,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Mitch Haniger,2021-09-21,SEA,@OAK,4,DH,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Mitch Haniger,2021-09-20,SEA,@OAK,3,RF,1,3,4,2,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,.667
Mitch Haniger,2021-09-19,SEA,@KCR,4,DH,1,4,5,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.250
