Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Mookie Betts,2022-07-10,LAD,CHC,1,RF,1,4,5,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,.000
Mookie Betts,2022-07-09,LAD,CHC,1,RF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Mookie Betts,2022-07-08,LAD,CHC,1,RF,1,4,5,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Mookie Betts,2022-07-07,LAD,CHC,1,RF,1,3,4,2,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,.667
Mookie Betts,2022-07-06,LAD,COL,1,RF,1,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-07-05,LAD,COL,1,RF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Mookie Betts,2022-07-04,LAD,COL,1,2B-RF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Mookie Betts,2022-07-03,LAD,SDP,1,RF,1,3,5,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,.667
Mookie Betts,2022-06-15,LAD,LAA,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-06-14,LAD,LAA,1,RF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Mookie Betts,2022-06-12,LAD,@SFG,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-06-11,LAD,@SFG,1,RF,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.250
Mookie Betts,2022-06-10,LAD,@SFG,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mookie Betts,2022-06-09,LAD,@CHW,1,RF,1,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Mookie Betts,2022-06-08,LAD,@CHW,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mookie Betts,2022-06-07,LAD,@CHW,1,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Mookie Betts,2022-06-05,LAD,NYM,1,RF,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mookie Betts,2022-06-04,LAD,NYM,1,RF,1,5,5,2,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,.400
Mookie Betts,2022-06-03,LAD,NYM,1,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.250
Mookie Betts,2022-06-02,LAD,NYM,1,RF,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.500
Mookie Betts,2022-06-01,LAD,PIT,1,RF,1,5,5,3,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.600
Mookie Betts,2022-05-31,LAD,PIT,1,RF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-05-30,LAD,PIT,1,RF,1,4,5,3,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,.750
Mookie Betts,2022-05-29,LAD,@ARI,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mookie Betts,2022-05-28,LAD,@ARI,1,RF,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.500
Mookie Betts,2022-05-27,LAD,@ARI,1,RF,1,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.200
Mookie Betts,2022-05-26,LAD,@ARI,1,RF,1,5,6,3,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,.600
Mookie Betts,2022-05-25,LAD,@WSN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-05-24,LAD,@WSN,1,RF,1,4,5,3,1,0,0,2,2,4,1,0,0,0,0,0,0,0,0,.750
Mookie Betts,2022-05-23,LAD,@WSN,1,RF,1,3,5,2,1,1,0,0,2,2,1,0,1,1,0,0,0,0,0,.667
Mookie Betts,2022-05-22,LAD,@PHI,1,RF,1,4,5,1,0,0,0,1,2,1,1,0,3,0,0,0,0,0,0,.250
Mookie Betts,2022-05-21,LAD,@PHI,1,RF,1,4,5,3,1,1,0,1,1,3,1,0,1,0,0,0,0,0,1,.750
Mookie Betts,2022-05-20,LAD,@PHI,1,RF,1,5,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Mookie Betts,2022-05-18,LAD,ARI,1,RF,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Mookie Betts,2022-05-17,LAD,ARI,1,RF,1,3,5,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-05-17,LAD,ARI,1,RF,1,4,4,3,1,1,0,1,2,2,0,0,1,0,0,0,0,0,0,.750
Mookie Betts,2022-05-16,LAD,ARI,1,RF,1,4,5,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.250
Mookie Betts,2022-05-15,LAD,PHI,1,RF,1,4,4,2,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,.500
Mookie Betts,2022-05-14,LAD,PHI,1,RF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Mookie Betts,2022-05-13,LAD,PHI,1,RF,1,6,6,2,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0,.333
Mookie Betts,2022-05-12,LAD,PHI,1,RF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Mookie Betts,2022-05-10,LAD,@PIT,1,RF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
