Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Nelson Cruz,2022-07-10,WSN,@ATL,4,DH,1,3,5,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,.333
Nelson Cruz,2022-07-09,WSN,@ATL,4,DH,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Nelson Cruz,2022-07-08,WSN,@ATL,4,DH,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Nelson Cruz,2022-07-07,WSN,@PHI,4,DH,1,3,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,.000
Nelson Cruz,2022-07-04,WSN,MIA,3,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Nelson Cruz,2022-07-03,WSN,MIA,4,DH,1,5,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.200
Nelson Cruz,2022-07-02,WSN,MIA,4,DH,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Nelson Cruz,2022-07-01,WSN,MIA,4,DH,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Nelson Cruz,2022-06-29,WSN,PIT,4,DH,1,3,5,2,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,.667
Nelson Cruz,2022-06-28,WSN,PIT,4,DH,1,4,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-27,WSN,PIT,4,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-26,WSN,@TEX,4,DH,1,5,5,2,2,0,0,0,1,3,0,0,1,0,0,0,0,0,0,.400
Nelson Cruz,2022-06-25,WSN,@TEX,4,DH,1,3,4,1,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,.333
Nelson Cruz,2022-06-24,WSN,@TEX,4,DH,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Nelson Cruz,2022-06-22,WSN,@BAL,4,DH,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-21,WSN,@BAL,4,DH,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Nelson Cruz,2022-06-19,WSN,PHI,4,DH,1,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.250
Nelson Cruz,2022-06-18,WSN,PHI,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-17,WSN,PHI,3,DH,1,3,5,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-17,WSN,PHI,4,DH,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-16,WSN,PHI,4,DH,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Nelson Cruz,2022-06-15,WSN,ATL,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Nelson Cruz,2022-06-14,WSN,ATL,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-13,WSN,ATL,4,DH,1,5,5,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.400
Nelson Cruz,2022-06-12,WSN,MIL,4,DH,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.333
Nelson Cruz,2022-06-11,WSN,MIL,4,DH,1,4,4,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,.500
Nelson Cruz,2022-06-10,WSN,MIL,4,DH,1,5,5,4,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,.800
Nelson Cruz,2022-06-08,WSN,@MIA,4,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nelson Cruz,2022-06-07,WSN,@MIA,4,DH,1,3,4,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,.333
Nelson Cruz,2022-06-05,WSN,@CIN,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
