Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Nick Maton,2022-06-03,PHI,LAA,7,2B,1,2,3,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,.500
Nick Maton,2022-06-01,PHI,SFG,8,2B,1,4,4,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.500
Nick Maton,2021-09-02,PHI,@WSN,9,PH,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-08-31,PHI,@WSN,9,PH,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-08-30,PHI,@WSN,4,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-08-11,PHI,LAD,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-08-07,PHI,NYM,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-07-18,PHI,MIA,9,PH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000
Nick Maton,2021-07-16,PHI,MIA,3,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-06-30,PHI,MIA,8,SS,1,2,3,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,.500
Nick Maton,2021-06-28,PHI,@CIN,9,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-06-27,PHI,@NYM,7,2B,1,3,4,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.667
Nick Maton,2021-06-26,PHI,@NYM,7,2B,1,3,4,1,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,.333
Nick Maton,2021-06-25,PHI,@NYM,8,2B,1,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-06-19,PHI,@SFG,4,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-06-06,PHI,WSN,9,2B,1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.000
Nick Maton,2021-06-05,PHI,WSN,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-06-01,PHI,@CIN,2,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-05-31,PHI,@CIN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-05-29,PHI,@TBR,5,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-05-27,PHI,@MIA,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-05-26,PHI,@MIA,6,SS,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-05-25,PHI,@MIA,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-05-24,PHI,@MIA,9,PH,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-05-22,PHI,BOS,7,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-05-21,PHI,BOS,9,SS,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-05-20,PHI,MIA,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-05-19,PHI,MIA,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-05-18,PHI,MIA,8,SS,1,4,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.250
Nick Maton,2021-05-16,PHI,@TOR,9,SS,1,4,4,3,1,0,0,2,2,4,0,0,1,0,0,0,0,1,0,.750
Nick Maton,2021-05-15,PHI,@TOR,9,SS,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
Nick Maton,2021-05-14,PHI,@TOR,9,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-05-13,PHI,@WSN,8,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Nick Maton,2021-05-12,PHI,@WSN,6,SS,1,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.333
Nick Maton,2021-05-11,PHI,@WSN,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-05-08,PHI,@ATL,7,2B,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Nick Maton,2021-05-07,PHI,@ATL,7,PR-SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-05-06,PHI,MIL,7,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-05-05,PHI,MIL,7,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-05-04,PHI,MIL,8,2B,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Nick Maton,2021-05-03,PHI,MIL,6,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-05-02,PHI,NYM,7,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Nick Maton,2021-05-01,PHI,NYM,6,2B,1,3,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Nick Maton,2021-04-30,PHI,NYM,6,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Maton,2021-04-29,PHI,@STL,8,SS,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Nick Maton,2021-04-28,PHI,@STL,8,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Maton,2021-04-27,PHI,@STL,8,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-04-26,PHI,@STL,8,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Maton,2021-04-25,PHI,@COL,7,2B,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Nick Maton,2021-04-24,PHI,@COL,7,2B,1,3,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,.667
Nick Maton,2021-04-23,PHI,@COL,7,2B,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Nick Maton,2021-04-21,PHI,SFG,7,SS,1,4,4,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.750
Nick Maton,2021-04-20,PHI,SFG,8,SS,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Nick Maton,2021-04-19,PHI,SFG,8,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
