Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Nick Senzel,2022-07-09,CIN,TBR,9,CF,1,4,5,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.500
Nick Senzel,2022-07-08,CIN,TBR,7,CF,1,3,4,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,.667
Nick Senzel,2022-07-07,CIN,PIT,8,CF,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Nick Senzel,2022-07-07,CIN,PIT,9,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Senzel,2022-07-06,CIN,NYM,7,CF,1,3,4,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.667
Nick Senzel,2022-07-05,CIN,NYM,7,CF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Nick Senzel,2022-07-04,CIN,NYM,7,CF,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Nick Senzel,2022-07-03,CIN,ATL,7,CF,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Nick Senzel,2022-07-02,CIN,ATL,8,CF,1,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.333
Nick Senzel,2022-07-01,CIN,ATL,8,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Nick Senzel,2022-06-30,CIN,@CHC,7,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Nick Senzel,2022-06-29,CIN,@CHC,8,CF,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
Nick Senzel,2022-06-28,CIN,@CHC,8,CF,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Nick Senzel,2022-06-26,CIN,@SFG,8,CF,1,3,4,3,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.000
Nick Senzel,2022-06-25,CIN,@SFG,8,CF,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.333
Nick Senzel,2022-06-24,CIN,@SFG,8,CF,1,3,4,2,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,.667
Nick Senzel,2022-06-23,CIN,LAD,8,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.500
Nick Senzel,2022-06-22,CIN,LAD,7,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Senzel,2022-06-21,CIN,LAD,7,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Senzel,2022-06-19,CIN,MIL,6,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Nick Senzel,2022-06-18,CIN,MIL,6,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Nick Senzel,2022-06-17,CIN,MIL,6,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.000
Nick Senzel,2022-06-15,CIN,@ARI,6,CF,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.000
Nick Senzel,2022-06-14,CIN,@ARI,6,CF,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.200
Nick Senzel,2022-06-13,CIN,@ARI,1,CF,1,3,5,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,.333
Nick Senzel,2022-06-12,CIN,@STL,1,CF,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Nick Senzel,2022-06-11,CIN,@STL,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Senzel,2022-06-07,CIN,ARI,1,CF,1,4,6,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,.500
Nick Senzel,2022-06-06,CIN,ARI,1,DH,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.250
Nick Senzel,2022-06-05,CIN,WSN,1,CF,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.400
Nick Senzel,2022-06-04,CIN,WSN,1,CF,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Nick Senzel,2022-06-03,CIN,WSN,1,CF,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Nick Senzel,2022-06-02,CIN,WSN,1,CF,1,4,5,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.500
Nick Senzel,2022-06-01,CIN,@BOS,1,CF,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Nick Senzel,2022-05-31,CIN,@BOS,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Nick Senzel,2022-05-29,CIN,SFG,1,CF,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Nick Senzel,2022-05-28,CIN,SFG,1,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Nick Senzel,2022-05-27,CIN,SFG,1,CF,1,4,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.000
Nick Senzel,2022-05-26,CIN,CHC,1,CF,1,4,6,4,4,0,0,0,3,1,2,0,0,0,0,0,0,0,1,1.000
Nick Senzel,2022-05-25,CIN,CHC,6,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Nick Senzel,2022-05-24,CIN,CHC,7,CF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Nick Senzel,2022-05-23,CIN,CHC,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Nick Senzel,2022-05-03,CIN,@MIL,6,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Senzel,2022-05-01,CIN,@COL,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Nick Senzel,2022-04-30,CIN,@COL,6,CF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Nick Senzel,2022-04-29,CIN,@COL,8,CF,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Nick Senzel,2022-04-28,CIN,SDP,2,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
