Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Odúbel Herrera,2022-07-08,PHI,@STL,9,CF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Odúbel Herrera,2022-07-06,PHI,WSN,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Odúbel Herrera,2022-07-05,PHI,WSN,1,PH-LF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-07-03,PHI,STL,7,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Odúbel Herrera,2022-07-02,PHI,STL,7,CF-LF,1,5,5,3,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,.600
Odúbel Herrera,2022-06-30,PHI,ATL,3,LF,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-28,PHI,ATL,6,RF,1,4,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-26,PHI,@SDP,6,CF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.250
Odúbel Herrera,2022-06-23,PHI,@SDP,7,CF,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Odúbel Herrera,2022-06-22,PHI,@TEX,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-19,PHI,@WSN,6,CF,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-18,PHI,@WSN,5,CF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,.000
Odúbel Herrera,2022-06-17,PHI,@WSN,5,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-17,PHI,@WSN,6,CF,1,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-16,PHI,@WSN,4,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-15,PHI,MIA,7,CF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Odúbel Herrera,2022-06-13,PHI,MIA,6,RF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Odúbel Herrera,2022-06-12,PHI,ARI,1,LF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Odúbel Herrera,2022-06-11,PHI,ARI,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-10,PHI,ARI,6,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Odúbel Herrera,2022-06-09,PHI,@MIL,4,RF,1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1.000
Odúbel Herrera,2022-06-08,PHI,@MIL,8,CF,1,3,4,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,.333
Odúbel Herrera,2022-06-05,PHI,LAA,7,CF,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
Odúbel Herrera,2022-06-03,PHI,LAA,1,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-06-01,PHI,SFG,6,CF,1,3,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,.667
Odúbel Herrera,2022-05-31,PHI,SFG,8,PH-CF-RF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Odúbel Herrera,2022-05-29,PHI,@NYM,8,CF-RF,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Odúbel Herrera,2022-05-28,PHI,@NYM,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Odúbel Herrera,2022-05-27,PHI,@NYM,7,CF,1,3,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Odúbel Herrera,2022-05-26,PHI,@ATL,8,CF,1,4,4,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.500
Odúbel Herrera,2022-05-25,PHI,@ATL,8,CF,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Odúbel Herrera,2022-05-22,PHI,LAD,7,CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Odúbel Herrera,2022-05-21,PHI,LAD,7,CF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.333
Odúbel Herrera,2022-05-20,PHI,LAD,8,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Odúbel Herrera,2022-05-19,PHI,SDP,6,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Odúbel Herrera,2022-05-18,PHI,SDP,8,LF,1,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Odúbel Herrera,2022-05-17,PHI,SDP,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Odúbel Herrera,2022-05-15,PHI,@LAD,6,CF-LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Odúbel Herrera,2022-05-13,PHI,@LAD,7,CF-LF,1,4,5,2,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,.500
Odúbel Herrera,2022-05-12,PHI,@LAD,9,PH-CF,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
