Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Phil Gosselin,2022-07-10,ATL,WSN,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Phil Gosselin,2022-07-07,ATL,STL,8,PR-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Phil Gosselin,2022-07-05,ATL,STL,8,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Phil Gosselin,2022-07-04,ATL,STL,8,2B,1,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667
Phil Gosselin,2022-07-03,ATL,@CIN,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Phil Gosselin,2022-06-30,ATL,@PHI,1,2B,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Phil Gosselin,2022-06-29,ATL,@PHI,8,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Phil Gosselin,2022-06-26,ATL,LAD,5,PR-RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Phil Gosselin,2022-06-23,ATL,SFG,7,2B,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Phil Gosselin,2022-06-22,ATL,SFG,8,2B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Phil Gosselin,2022-06-20,ATL,SFG,4,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Phil Gosselin,2022-06-19,ATL,@CHC,8,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Phil Gosselin,2021-10-03,LAA,@SEA,2,LF,1,5,5,3,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,.600
