Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Rafael Ortega,2022-07-10,CHC,@LAD,1,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Rafael Ortega,2022-07-08,CHC,@LAD,9,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Rafael Ortega,2022-07-07,CHC,@LAD,1,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Rafael Ortega,2022-07-06,CHC,@MIL,1,LF,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.250
Rafael Ortega,2022-07-05,CHC,@MIL,1,DH,1,3,4,2,1,0,1,0,1,2,1,0,0,0,0,0,0,1,0,.667
Rafael Ortega,2022-07-04,CHC,@MIL,8,PH-CF,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.500
Rafael Ortega,2022-07-03,CHC,BOS,1,CF,1,3,5,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,.333
Rafael Ortega,2022-07-02,CHC,BOS,1,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Rafael Ortega,2022-07-01,CHC,BOS,5,PH-CF,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.000
Rafael Ortega,2022-06-30,CHC,CIN,1,RF,1,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,.000
Rafael Ortega,2022-06-29,CHC,CIN,1,LF,1,4,5,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Rafael Ortega,2022-06-28,CHC,CIN,2,RF,1,3,5,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,.333
Rafael Ortega,2022-06-26,CHC,@STL,2,RF,1,4,4,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.250
