Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Ramón Laureano,2022-07-11,OAK,@TEX,2,CF-RF,1,5,5,2,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,.400
Ramón Laureano,2022-07-10,OAK,HOU,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Ramón Laureano,2022-07-09,OAK,HOU,2,RF,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Ramón Laureano,2022-07-08,OAK,HOU,2,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Ramón Laureano,2022-07-06,OAK,TOR,2,DH,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.333
Ramón Laureano,2022-07-05,OAK,TOR,2,DH,1,1,4,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,.000
Ramón Laureano,2022-07-04,OAK,TOR,2,RF,1,3,4,2,1,0,0,1,2,1,1,0,1,0,0,0,0,0,1,.667
Ramón Laureano,2022-07-03,OAK,@SEA,2,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.250
Ramón Laureano,2022-07-02,OAK,@SEA,2,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Ramón Laureano,2022-07-01,OAK,@SEA,2,CF-RF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Ramón Laureano,2022-06-30,OAK,@SEA,2,RF,1,5,5,2,0,0,0,2,2,4,0,0,2,0,0,0,0,0,0,.400
Ramón Laureano,2022-06-29,OAK,@NYY,3,RF-CF,1,5,5,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,.400
Ramón Laureano,2022-06-28,OAK,@NYY,2,RF-CF,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,.000
Ramón Laureano,2022-06-27,OAK,@NYY,3,RF,1,4,4,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.250
