Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Riley Greene,2022-07-11,DET,@KCR,1,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Riley Greene,2022-07-10,DET,@CHW,1,CF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,.333
Riley Greene,2022-07-09,DET,@CHW,1,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Riley Greene,2022-07-08,DET,@CHW,1,CF,1,4,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,.000
Riley Greene,2022-07-07,DET,@CHW,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Riley Greene,2022-07-06,DET,CLE,1,CF,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Riley Greene,2022-07-05,DET,CLE,1,CF,1,5,5,2,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,.400
Riley Greene,2022-07-04,DET,CLE,1,CF,1,5,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.200
Riley Greene,2022-07-04,DET,CLE,1,CF,1,4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Riley Greene,2022-07-03,DET,KCR,1,CF,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,.200
Riley Greene,2022-07-02,DET,KCR,1,CF,1,4,5,2,0,0,1,1,3,1,1,0,1,0,0,0,0,0,0,.500
Riley Greene,2022-07-01,DET,KCR,1,CF,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.250
Riley Greene,2022-06-29,DET,@SFG,4,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Riley Greene,2022-06-28,DET,@SFG,4,CF,1,3,4,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.667
Riley Greene,2022-06-26,DET,@ARI,4,CF,1,3,5,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,0,.000
Riley Greene,2022-06-25,DET,@ARI,2,CF,1,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Riley Greene,2022-06-24,DET,@ARI,2,CF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Riley Greene,2022-06-22,DET,@BOS,2,CF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Riley Greene,2022-06-21,DET,@BOS,5,CF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Riley Greene,2022-06-20,DET,@BOS,5,CF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Riley Greene,2022-06-19,DET,TEX,5,CF,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Riley Greene,2022-06-18,DET,TEX,6,CF,1,3,5,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.667
