Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Roberto Pérez,2022-05-07,PIT,@CIN,9,C,1,3,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.667
Roberto Pérez,2022-05-04,PIT,@DET,8,C,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.333
Roberto Pérez,2022-05-04,PIT,@DET,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Roberto Pérez,2022-05-01,PIT,SDP,9,C,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Roberto Pérez,2022-04-30,PIT,SDP,7,C,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Roberto Pérez,2022-04-28,PIT,MIL,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-27,PIT,MIL,7,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-26,PIT,MIL,7,C,1,4,5,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,.250
Roberto Pérez,2022-04-24,PIT,@CHC,6,C,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-22,PIT,@CHC,9,C,1,3,3,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.667
Roberto Pérez,2022-04-21,PIT,@CHC,8,C,1,3,4,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.333
Roberto Pérez,2022-04-20,PIT,@MIL,9,PH-C,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-19,PIT,@MIL,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-18,PIT,@MIL,8,C,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-17,PIT,WSN,7,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Roberto Pérez,2022-04-15,PIT,WSN,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Roberto Pérez,2022-04-14,PIT,WSN,8,C,1,4,5,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,.250
Roberto Pérez,2022-04-12,PIT,CHC,8,C,1,3,3,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Roberto Pérez,2022-04-10,PIT,@STL,8,C,1,4,5,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,.250
Roberto Pérez,2022-04-09,PIT,@STL,8,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Roberto Pérez,2022-04-07,PIT,@STL,8,C,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Roberto Pérez,2021-10-02,CLE,@TEX,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-09-30,CLE,@KCR,7,C,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Roberto Pérez,2021-09-28,CLE,@KCR,8,C,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Roberto Pérez,2021-09-26,CLE,CHW,8,C,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Roberto Pérez,2021-09-24,CLE,CHW,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-09-23,CLE,CHW,7,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-09-20,CLE,KCR,7,C,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Roberto Pérez,2021-09-19,CLE,@NYY,7,C,1,5,5,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.400
Roberto Pérez,2021-09-17,CLE,@NYY,8,C,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Roberto Pérez,2021-09-14,CLE,@MIN,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Roberto Pérez,2021-08-03,CLE,@TOR,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-08-01,CLE,@CHW,6,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-07-30,CLE,@CHW,7,C,1,3,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,.000
Roberto Pérez,2021-07-27,CLE,STL,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Roberto Pérez,2021-07-25,CLE,TBR,6,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-07-21,CLE,@HOU,7,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Roberto Pérez,2021-07-20,CLE,@HOU,5,PH-1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Roberto Pérez,2021-07-19,CLE,@HOU,8,C,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Roberto Pérez,2021-07-18,CLE,@OAK,6,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Roberto Pérez,2021-07-16,CLE,@OAK,7,C,1,4,4,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,.250
Roberto Pérez,2021-07-10,CLE,KCR,7,C,1,4,4,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.500
Roberto Pérez,2021-07-08,CLE,KCR,7,C,1,4,4,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.250
