Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Sam Huff,2022-07-11,TEX,OAK,5,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-18,TEX,@DET,6,C,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Sam Huff,2022-06-17,TEX,@DET,6,1B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Sam Huff,2022-06-16,TEX,@DET,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sam Huff,2022-06-14,TEX,HOU,5,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Sam Huff,2022-06-13,TEX,HOU,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-12,TEX,@CHW,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-11,TEX,@CHW,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-10,TEX,@CHW,5,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Sam Huff,2022-06-07,TEX,@CLE,5,C,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-05,TEX,SEA,7,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-04,TEX,SEA,5,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Sam Huff,2022-06-03,TEX,SEA,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-06-02,TEX,TBR,7,PH-1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sam Huff,2022-06-01,TEX,TBR,6,C,1,3,5,2,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,.667
Sam Huff,2022-05-31,TEX,TBR,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-05-29,TEX,@OAK,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2022-05-28,TEX,@OAK,5,C,1,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.400
Sam Huff,2022-05-27,TEX,@OAK,6,DH,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Sam Huff,2022-05-26,TEX,@OAK,8,PH-C,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sam Huff,2022-05-25,TEX,@LAA,7,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Sam Huff,2022-05-22,TEX,@HOU,8,C,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
Sam Huff,2022-05-21,TEX,@HOU,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sam Huff,2022-05-17,TEX,LAA,8,C,1,4,4,3,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.750
Sam Huff,2022-05-16,TEX,LAA,8,DH,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.500
Sam Huff,2022-05-14,TEX,BOS,8,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Sam Huff,2022-05-11,TEX,KCR,8,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Sam Huff,2022-04-30,TEX,ATL,9,C,1,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Sam Huff,2020-09-27,TEX,HOU,7,C,1,3,4,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,.333
Sam Huff,2020-09-25,TEX,HOU,6,C,1,4,4,3,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,.750
Sam Huff,2020-09-23,TEX,@ARI,5,C,1,4,4,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Sam Huff,2020-09-22,TEX,@ARI,7,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Sam Huff,2020-09-20,TEX,@LAA,9,C,1,4,4,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,.250
Sam Huff,2020-09-18,TEX,@LAA,8,C,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Sam Huff,2020-09-17,TEX,@HOU,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sam Huff,2020-09-15,TEX,@HOU,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sam Huff,2020-09-12,TEX,OAK,6,C,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Sam Huff,2020-09-11,TEX,OAK,8,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
