Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Sean Murphy,2022-07-11,OAK,@TEX,3,C,1,4,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.250
Sean Murphy,2022-07-10,OAK,HOU,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Sean Murphy,2022-07-09,OAK,HOU,3,C,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Sean Murphy,2022-07-08,OAK,HOU,4,C,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Sean Murphy,2022-07-05,OAK,TOR,4,C,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,.000
Sean Murphy,2022-07-04,OAK,TOR,4,C,1,3,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333
Sean Murphy,2022-07-03,OAK,@SEA,4,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Sean Murphy,2022-07-02,OAK,@SEA,4,DH,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,.333
Sean Murphy,2022-07-01,OAK,@SEA,4,C,1,5,5,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,.600
Sean Murphy,2022-06-30,OAK,@SEA,5,C,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Sean Murphy,2022-06-28,OAK,@NYY,4,C,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.000
Sean Murphy,2022-06-27,OAK,@NYY,4,C,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.000
Sean Murphy,2022-06-25,OAK,@KCR,5,C,1,5,5,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.400
Sean Murphy,2022-06-24,OAK,@KCR,5,C,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Sean Murphy,2022-06-23,OAK,SEA,4,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Sean Murphy,2022-06-22,OAK,SEA,6,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Sean Murphy,2022-06-21,OAK,SEA,5,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Sean Murphy,2022-06-19,OAK,KCR,7,C,1,4,4,3,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,.750
Sean Murphy,2022-06-17,OAK,KCR,4,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Sean Murphy,2022-06-16,OAK,@BOS,4,DH,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Sean Murphy,2022-06-15,OAK,@BOS,7,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Sean Murphy,2022-06-14,OAK,@BOS,8,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333
Sean Murphy,2022-06-12,OAK,@CLE,5,DH,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Sean Murphy,2022-06-11,OAK,@CLE,5,C,1,4,5,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.250
Sean Murphy,2022-06-10,OAK,@CLE,7,C,1,3,4,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,.333
Sean Murphy,2022-06-09,OAK,@CLE,4,C,1,3,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.000
Sean Murphy,2022-06-08,OAK,@ATL,7,C,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Sean Murphy,2022-06-07,OAK,@ATL,8,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Sean Murphy,2022-06-04,OAK,BOS,7,C,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Sean Murphy,2022-06-03,OAK,BOS,7,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Sean Murphy,2022-05-31,OAK,HOU,5,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sean Murphy,2022-05-30,OAK,HOU,4,C,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Sean Murphy,2022-05-29,OAK,TEX,5,C,1,3,5,1,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,.333
Sean Murphy,2022-05-28,OAK,TEX,3,DH,1,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Sean Murphy,2022-05-27,OAK,TEX,5,C,1,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Sean Murphy,2022-05-26,OAK,TEX,4,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Sean Murphy,2022-05-24,OAK,@SEA,5,C,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
