Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Seiya Suzuki,2022-07-10,CHC,@LAD,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Seiya Suzuki,2022-07-09,CHC,@LAD,4,RF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Seiya Suzuki,2022-07-08,CHC,@LAD,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Seiya Suzuki,2022-07-07,CHC,@LAD,4,RF,1,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Seiya Suzuki,2022-07-06,CHC,@MIL,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Seiya Suzuki,2022-07-05,CHC,@MIL,4,RF,1,5,5,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.400
Seiya Suzuki,2022-07-04,CHC,@MIL,4,RF,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Seiya Suzuki,2022-05-26,CHC,@CIN,4,RF,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.500
Seiya Suzuki,2022-05-25,CHC,@CIN,3,RF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Seiya Suzuki,2022-05-24,CHC,@CIN,3,RF,1,5,6,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,.000
Seiya Suzuki,2022-05-23,CHC,@CIN,3,RF,1,3,5,1,0,1,0,0,2,0,2,0,2,0,0,0,0,1,0,.333
Seiya Suzuki,2022-05-22,CHC,ARI,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Seiya Suzuki,2022-05-21,CHC,ARI,3,RF,1,5,5,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.200
Seiya Suzuki,2022-05-19,CHC,ARI,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Seiya Suzuki,2022-05-18,CHC,PIT,4,RF,1,3,4,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Seiya Suzuki,2022-05-17,CHC,PIT,4,RF,1,4,4,1,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,.250
Seiya Suzuki,2022-05-16,CHC,PIT,2,RF,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
Seiya Suzuki,2022-05-15,CHC,@ARI,4,RF,1,3,4,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,.333
Seiya Suzuki,2022-05-14,CHC,@ARI,2,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Seiya Suzuki,2022-05-10,CHC,@SDP,1,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Seiya Suzuki,2022-05-09,CHC,@SDP,2,RF,1,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,.333
Seiya Suzuki,2022-05-08,CHC,LAD,2,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Seiya Suzuki,2022-05-07,CHC,LAD,2,RF,1,4,4,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,.250
Seiya Suzuki,2022-05-07,CHC,LAD,2,RF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,.333
Seiya Suzuki,2022-05-04,CHC,CHW,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Seiya Suzuki,2022-05-03,CHC,CHW,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Seiya Suzuki,2022-05-01,CHC,@MIL,2,RF,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Seiya Suzuki,2022-04-30,CHC,@MIL,4,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.000
Seiya Suzuki,2022-04-29,CHC,@MIL,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
