Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Sergio Alcántara,2022-07-11,ARI,@SFG,8,PH-2B,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
Sergio Alcántara,2022-07-10,ARI,COL,7,2B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Sergio Alcántara,2022-07-09,ARI,COL,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-07-08,ARI,COL,8,2B,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Sergio Alcántara,2022-07-07,ARI,COL,3,PR-2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-29,SDP,@ARI,5,2B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-23,SDP,PHI,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-22,SDP,ARI,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-21,SDP,ARI,4,PR-DH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-19,SDP,@COL,3,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-17,SDP,@COL,9,3B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Sergio Alcántara,2022-06-16,SDP,@CHC,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Sergio Alcántara,2022-06-15,SDP,@CHC,8,PH-SS,1,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Sergio Alcántara,2022-06-14,SDP,@CHC,5,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-11,SDP,COL,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-11,SDP,COL,5,PR-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000
Sergio Alcántara,2022-06-10,SDP,COL,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-08,SDP,NYM,9,3B,1,4,4,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.250
Sergio Alcántara,2022-06-04,SDP,@MIL,9,2B,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-06-02,SDP,@MIL,9,SS,1,2,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,.000
Sergio Alcántara,2022-05-31,SDP,@STL,2,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-29,SDP,PIT,6,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-28,SDP,PIT,9,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-22,SDP,@SFG,2,SS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-21,SDP,@SFG,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-19,SDP,@PHI,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-15,SDP,@ATL,3,PR-SS,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-05-04,ARI,@MIA,7,3B,1,3,4,2,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,.667
Sergio Alcántara,2022-05-03,ARI,@MIA,9,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Sergio Alcántara,2022-05-02,ARI,@MIA,6,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-30,ARI,@STL,9,3B,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.333
Sergio Alcántara,2022-04-29,ARI,@STL,7,3B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,.250
Sergio Alcántara,2022-04-27,ARI,LAD,9,3B,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,.000
Sergio Alcántara,2022-04-26,ARI,LAD,7,3B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-25,ARI,LAD,8,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-24,ARI,NYM,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Sergio Alcántara,2022-04-23,ARI,NYM,8,3B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Sergio Alcántara,2022-04-22,ARI,NYM,3,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-21,ARI,@WSN,3,3B-SS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-20,ARI,@WSN,8,SS-3B,1,2,4,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,.000
Sergio Alcántara,2022-04-19,ARI,@WSN,8,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-19,ARI,@WSN,7,3B-SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Sergio Alcántara,2022-04-16,ARI,@NYM,8,SS,1,4,4,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.250
Sergio Alcántara,2022-04-15,ARI,@NYM,7,3B-SS,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
