Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Seth Brown,2022-07-11,OAK,@TEX,4,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Seth Brown,2022-07-10,OAK,HOU,3,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Seth Brown,2022-07-09,OAK,HOU,7,1B,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333
Seth Brown,2022-07-08,OAK,HOU,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Seth Brown,2022-07-06,OAK,TOR,3,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Seth Brown,2022-07-04,OAK,TOR,3,1B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Seth Brown,2022-07-03,OAK,@SEA,8,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Seth Brown,2022-07-02,OAK,@SEA,3,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Seth Brown,2022-07-01,OAK,@SEA,3,1B,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Seth Brown,2022-06-30,OAK,@SEA,3,1B,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Seth Brown,2022-06-29,OAK,@NYY,2,1B-LF,1,4,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,.250
Seth Brown,2022-06-28,OAK,@NYY,9,PH-RF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Seth Brown,2022-06-26,OAK,@KCR,3,DH,1,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Seth Brown,2022-06-25,OAK,@KCR,4,RF-LF,1,5,5,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,.400
Seth Brown,2022-06-24,OAK,@KCR,4,RF,1,4,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
