Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Spencer Torkelson,2022-07-11,DET,@KCR,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Spencer Torkelson,2022-07-11,DET,@KCR,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Spencer Torkelson,2022-07-10,DET,@CHW,7,1B,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Spencer Torkelson,2022-07-09,DET,@CHW,8,1B,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Spencer Torkelson,2022-07-08,DET,@CHW,7,1B,1,2,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.000
Spencer Torkelson,2022-07-07,DET,@CHW,8,PH-1B,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
Spencer Torkelson,2022-07-06,DET,CLE,8,1B,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Spencer Torkelson,2022-07-05,DET,CLE,8,1B,1,3,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,.000
Spencer Torkelson,2022-07-04,DET,CLE,6,1B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Spencer Torkelson,2022-07-03,DET,KCR,7,1B,1,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,.250
Spencer Torkelson,2022-07-02,DET,KCR,8,PH-1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Spencer Torkelson,2022-07-01,DET,KCR,7,1B,1,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.500
Spencer Torkelson,2022-06-29,DET,@SFG,6,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Spencer Torkelson,2022-06-28,DET,@SFG,5,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Spencer Torkelson,2022-06-26,DET,@ARI,5,1B,1,4,5,1,0,1,0,0,2,0,1,0,3,0,0,0,0,0,0,.250
Spencer Torkelson,2022-06-24,DET,@ARI,6,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Spencer Torkelson,2022-06-22,DET,@BOS,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Spencer Torkelson,2022-06-21,DET,@BOS,6,1B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Spencer Torkelson,2022-06-20,DET,@BOS,7,1B,1,3,4,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.667
Spencer Torkelson,2022-06-19,DET,TEX,6,1B,1,4,4,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.500
Spencer Torkelson,2022-06-18,DET,TEX,7,1B,1,5,5,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.400
Spencer Torkelson,2022-06-17,DET,TEX,8,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Spencer Torkelson,2022-06-16,DET,TEX,7,1B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Spencer Torkelson,2022-06-15,DET,CHW,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
