Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Taylor Jones,2021-08-29,HOU,@TEX,2,PH-LF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-08-24,HOU,KCR,9,LF,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
Taylor Jones,2021-08-23,HOU,KCR,8,LF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,.250
Taylor Jones,2021-08-22,HOU,SEA,8,DH,1,5,5,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.400
Taylor Jones,2021-08-21,HOU,SEA,6,LF,1,5,5,3,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,.600
Taylor Jones,2021-08-20,HOU,SEA,3,PH-1B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-08-19,HOU,@KCR,8,PH,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Taylor Jones,2021-08-17,HOU,@KCR,7,DH,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Jones,2021-08-16,HOU,@KCR,4,PH-DH,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Taylor Jones,2021-08-11,HOU,COL,8,1B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Taylor Jones,2021-08-10,HOU,COL,8,1B,1,4,4,2,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,.500
Taylor Jones,2021-08-08,HOU,MIN,7,1B,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Taylor Jones,2021-08-07,HOU,MIN,9,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-08-06,HOU,MIN,8,1B,1,5,5,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.200
Taylor Jones,2021-07-04,HOU,@CLE,8,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-07-03,HOU,@CLE,7,LF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-07-02,HOU,@CLE,7,LF,1,4,4,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.500
Taylor Jones,2021-06-24,HOU,@DET,3,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Jones,2021-06-23,HOU,@BAL,3,1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-06-21,HOU,@BAL,4,PH-1B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Taylor Jones,2021-06-20,HOU,CHW,7,1B,1,5,5,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.400
Taylor Jones,2021-06-17,HOU,CHW,4,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Jones,2021-06-13,HOU,@MIN,2,PR-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Jones,2021-06-10,HOU,@BOS,7,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Jones,2021-06-06,HOU,@TOR,8,1B,1,5,5,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,.200
Taylor Jones,2021-06-04,HOU,@TOR,1,PH-1B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-06-03,HOU,BOS,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Jones,2021-05-31,HOU,BOS,7,DH,1,2,4,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,.500
Taylor Jones,2021-05-30,HOU,SDP,7,DH,1,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.333
