Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Taylor Walls,2022-07-11,TBR,BOS,8,SS,1,3,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,.000
Taylor Walls,2022-07-10,TBR,@CIN,3,SS,1,5,5,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.200
Taylor Walls,2022-07-09,TBR,@CIN,8,2B-SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Taylor Walls,2022-07-06,TBR,@BOS,6,3B,1,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,.000
Taylor Walls,2022-07-05,TBR,@BOS,7,2B,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Taylor Walls,2022-07-03,TBR,@TOR,8,2B-SS,1,3,4,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Taylor Walls,2022-07-02,TBR,@TOR,7,SS,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Taylor Walls,2022-07-02,TBR,@TOR,8,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.250
Taylor Walls,2022-07-01,TBR,@TOR,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Walls,2022-06-30,TBR,@TOR,7,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Walls,2022-06-29,TBR,MIL,7,SS,1,4,4,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
Taylor Walls,2022-06-28,TBR,MIL,7,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Walls,2022-06-26,TBR,PIT,4,PR-DH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Taylor Walls,2022-06-25,TBR,PIT,1,SS,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Taylor Walls,2022-06-24,TBR,PIT,6,SS,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Taylor Walls,2022-06-22,TBR,NYY,9,SS,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Taylor Walls,2022-06-21,TBR,NYY,8,SS,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Taylor Walls,2022-06-20,TBR,NYY,2,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Walls,2022-06-19,TBR,@BAL,9,SS,1,4,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,.250
Taylor Walls,2022-06-18,TBR,@BAL,7,SS,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Walls,2022-06-17,TBR,@BAL,8,SS,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Taylor Walls,2022-06-16,TBR,@NYY,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Walls,2022-06-15,TBR,@NYY,8,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Taylor Walls,2022-06-14,TBR,@NYY,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Walls,2022-06-12,TBR,@MIN,6,SS,1,3,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,.000
Taylor Walls,2022-06-11,TBR,@MIN,6,SS,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Taylor Walls,2022-06-10,TBR,@MIN,8,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Taylor Walls,2022-06-09,TBR,STL,7,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Walls,2022-06-08,TBR,STL,9,SS,1,5,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Taylor Walls,2022-06-07,TBR,STL,8,SS,1,4,4,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.250
Taylor Walls,2022-06-05,TBR,CHW,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Taylor Walls,2022-06-01,TBR,@TEX,6,SS,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Walls,2022-05-31,TBR,@TEX,8,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Taylor Walls,2022-05-30,TBR,@TEX,6,2B,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000
Taylor Walls,2022-05-29,TBR,NYY,6,3B-2B,1,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.500
Taylor Walls,2022-05-28,TBR,NYY,9,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
