Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Taylor Ward,2022-07-10,LAA,@BAL,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-07-09,LAA,@BAL,4,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2022-07-08,LAA,@BAL,4,RF,1,4,5,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-07-07,LAA,@BAL,4,RF,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-07-06,LAA,@MIA,4,RF,1,3,5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,.333
Taylor Ward,2022-07-05,LAA,@MIA,4,RF,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Taylor Ward,2022-07-03,LAA,@HOU,4,RF,1,3,4,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.333
Taylor Ward,2022-07-02,LAA,@HOU,1,RF,1,2,4,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,.500
Taylor Ward,2022-07-01,LAA,@HOU,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Ward,2022-06-29,LAA,CHW,1,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2022-06-28,LAA,CHW,1,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2022-06-27,LAA,CHW,1,RF,1,4,4,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,.500
Taylor Ward,2022-06-26,LAA,SEA,1,RF,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Taylor Ward,2022-06-25,LAA,SEA,1,RF,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
Taylor Ward,2022-06-24,LAA,SEA,1,RF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,.250
Taylor Ward,2022-06-22,LAA,KCR,1,RF,1,4,5,1,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-06-21,LAA,KCR,1,RF,1,4,6,1,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-06-20,LAA,KCR,1,RF,1,4,4,2,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.500
Taylor Ward,2022-06-19,LAA,@SEA,1,RF,1,4,4,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.750
Taylor Ward,2022-06-18,LAA,@SEA,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-06-18,LAA,@SEA,1,RF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-06-17,LAA,@SEA,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2022-06-16,LAA,@SEA,1,RF,1,5,5,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.600
Taylor Ward,2022-06-15,LAA,@LAD,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Ward,2022-06-14,LAA,@LAD,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-06-03,LAA,@PHI,1,RF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Taylor Ward,2022-06-02,LAA,@NYY,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2022-06-02,LAA,@NYY,1,RF,1,4,5,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-05-31,LAA,@NYY,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Ward,2022-05-29,LAA,TOR,1,RF,1,4,5,2,0,1,0,1,2,3,1,0,1,0,0,0,0,0,0,.500
Taylor Ward,2022-05-28,LAA,TOR,8,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Taylor Ward,2022-05-27,LAA,TOR,1,DH,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Ward,2022-05-26,LAA,TOR,3,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2022-05-20,LAA,OAK,1,RF,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Taylor Ward,2022-05-18,LAA,@TEX,1,RF,1,3,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.333
Taylor Ward,2022-05-17,LAA,@TEX,1,RF,1,5,5,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.200
Taylor Ward,2022-05-16,LAA,@TEX,1,RF,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Taylor Ward,2022-05-15,LAA,@OAK,1,RF,1,5,5,2,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,.400
Taylor Ward,2022-05-14,LAA,@OAK,1,RF,1,3,5,3,1,1,0,1,2,5,2,0,0,0,0,0,0,0,0,1.000
Taylor Ward,2022-05-13,LAA,@OAK,1,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Taylor Ward,2022-05-11,LAA,TBR,9,PH-RF,1,2,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Taylor Ward,2022-05-08,LAA,WSN,1,RF,1,4,5,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.500
Taylor Ward,2022-05-07,LAA,WSN,1,RF,1,4,5,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-05-06,LAA,WSN,1,RF,1,1,4,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-05-05,LAA,@BOS,1,RF,1,4,5,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-05-04,LAA,@BOS,1,PH-RF,1,2,2,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.500
Taylor Ward,2022-05-03,LAA,@BOS,1,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Taylor Ward,2022-05-02,LAA,@CHW,1,RF,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-05-01,LAA,@CHW,1,RF,1,4,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.500
Taylor Ward,2022-04-30,LAA,@CHW,1,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Taylor Ward,2022-04-29,LAA,@CHW,1,RF,1,5,5,3,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,.600
Taylor Ward,2022-04-28,LAA,CLE,1,RF,1,4,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.250
Taylor Ward,2022-04-27,LAA,CLE,1,RF,1,4,5,3,0,1,1,1,4,4,1,0,0,0,0,0,0,0,0,.750
Taylor Ward,2022-04-26,LAA,CLE,1,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2022-04-25,LAA,CLE,1,RF,1,4,4,2,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,.500
Taylor Ward,2022-04-24,LAA,BAL,5,RF,1,1,4,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-04-23,LAA,BAL,5,RF,1,2,4,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.500
Taylor Ward,2022-04-22,LAA,BAL,4,RF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Taylor Ward,2022-04-20,LAA,@HOU,2,RF,1,4,5,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,.250
Taylor Ward,2022-04-19,LAA,@HOU,2,RF,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,.400
Taylor Ward,2022-04-18,LAA,@HOU,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Taylor Ward,2022-04-17,LAA,@TEX,3,RF,1,3,5,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,.333
Taylor Ward,2022-04-16,LAA,@TEX,4,RF,1,3,5,2,1,0,0,1,1,1,2,0,1,0,0,0,0,1,0,.667
Taylor Ward,2021-09-30,LAA,@TEX,7,LF,1,1,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000
Taylor Ward,2021-09-29,LAA,@TEX,6,CF-LF,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Taylor Ward,2021-07-20,LAA,@OAK,6,LF-RF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Taylor Ward,2021-07-19,LAA,@OAK,7,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2021-07-18,LAA,SEA,6,LF,1,3,4,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,.333
Taylor Ward,2021-07-17,LAA,SEA,6,RF-LF,1,4,4,3,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,.750
Taylor Ward,2021-07-11,LAA,@SEA,7,RF,1,4,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.000
Taylor Ward,2021-07-10,LAA,@SEA,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Ward,2021-07-09,LAA,@SEA,7,RF-LF,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,.000
Taylor Ward,2021-07-07,LAA,BOS,7,LF-RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2021-07-06,LAA,BOS,7,RF-LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Ward,2021-07-05,LAA,BOS,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2021-07-04,LAA,BAL,8,RF,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Taylor Ward,2021-07-03,LAA,BAL,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2021-07-02,LAA,BAL,8,RF-LF,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Taylor Ward,2021-06-30,LAA,@NYY,8,RF-LF,1,3,5,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,.333
Taylor Ward,2021-06-29,LAA,@NYY,9,CF,1,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333
Taylor Ward,2021-06-27,LAA,@TBR,7,RF,1,4,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Taylor Ward,2021-06-26,LAA,@TBR,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2021-06-25,LAA,@TBR,6,LF,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Taylor Ward,2021-06-23,LAA,SFG,5,LF-C,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Taylor Ward,2021-06-22,LAA,SFG,3,CF-LF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Taylor Ward,2021-06-20,LAA,DET,3,LF,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,.000
Taylor Ward,2021-06-19,LAA,DET,3,CF-RF,1,4,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.250
Taylor Ward,2021-06-18,LAA,DET,3,RF,1,4,5,3,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,.750
Taylor Ward,2021-06-17,LAA,DET,3,RF,1,4,4,1,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2021-06-16,LAA,@OAK,5,RF,1,3,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.333
Taylor Ward,2021-06-15,LAA,@OAK,5,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Taylor Ward,2021-06-14,LAA,@OAK,7,RF,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
Taylor Ward,2021-06-13,LAA,@ARI,6,RF,1,4,5,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,.500
Taylor Ward,2021-06-12,LAA,@ARI,6,RF-CF,1,5,5,2,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,.400
Taylor Ward,2021-06-11,LAA,@ARI,6,CF-RF,1,4,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.250
Taylor Ward,2021-06-09,LAA,KCR,6,CF-RF,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Taylor Ward,2021-06-08,LAA,KCR,6,RF,1,4,4,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.250
Taylor Ward,2021-06-07,LAA,KCR,8,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Taylor Ward,2021-06-06,LAA,SEA,7,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Taylor Ward,2021-06-05,LAA,SEA,8,RF,1,4,4,2,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,.500
Taylor Ward,2021-06-04,LAA,SEA,2,RF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Taylor Ward,2021-06-03,LAA,SEA,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Ward,2021-06-01,LAA,@SFG,6,RF,1,3,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333
Taylor Ward,2021-05-31,LAA,@SFG,5,CF-RF,1,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.000
Taylor Ward,2021-05-30,LAA,@OAK,7,RF,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Taylor Ward,2021-05-29,LAA,@OAK,6,RF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.000
Taylor Ward,2021-05-28,LAA,@OAK,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Taylor Ward,2021-05-27,LAA,@OAK,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Taylor Ward,2021-05-26,LAA,TEX,7,RF,1,4,4,3,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,.750
Taylor Ward,2021-05-25,LAA,TEX,7,RF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2021-05-23,LAA,OAK,7,RF-CF,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,.000
Taylor Ward,2021-05-21,LAA,OAK,5,LF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Taylor Ward,2021-05-20,LAA,MIN,6,RF,1,3,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.333
