Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Tom Murphy,2022-05-06,SEA,TBR,9,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2022-05-03,SEA,@HOU,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2022-05-01,SEA,@MIA,9,C,1,2,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,.000
Tom Murphy,2022-04-30,SEA,@MIA,7,C,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Tom Murphy,2022-04-28,SEA,@TBR,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2022-04-27,SEA,@TBR,1,PH-DH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2022-04-26,SEA,@TBR,7,C,1,4,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Tom Murphy,2022-04-23,SEA,KCR,6,C,1,4,5,2,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,.500
Tom Murphy,2022-04-21,SEA,TEX,6,C,1,4,5,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.500
Tom Murphy,2022-04-19,SEA,TEX,9,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Tom Murphy,2022-04-15,SEA,HOU,9,C,1,2,4,1,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,.500
Tom Murphy,2022-04-13,SEA,@CHW,8,C,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Tom Murphy,2022-04-11,SEA,@MIN,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2022-04-09,SEA,@MIN,9,C,1,3,4,2,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,.667
Tom Murphy,2021-10-02,SEA,LAA,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-10-01,SEA,LAA,8,C,1,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-09-28,SEA,OAK,9,C,1,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333
Tom Murphy,2021-09-27,SEA,OAK,8,C,1,2,4,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,.000
Tom Murphy,2021-09-26,SEA,@LAA,8,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-09-24,SEA,@LAA,8,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-09-22,SEA,@OAK,8,C,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Tom Murphy,2021-09-21,SEA,@OAK,7,C,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Tom Murphy,2021-09-20,SEA,@OAK,8,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Tom Murphy,2021-09-18,SEA,@KCR,8,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Tom Murphy,2021-09-15,SEA,BOS,9,C,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,.250
Tom Murphy,2021-09-13,SEA,BOS,7,C,1,3,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-09-12,SEA,ARI,7,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-09-11,SEA,ARI,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-09-10,SEA,ARI,7,C,1,3,3,2,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,.667
Tom Murphy,2021-09-08,SEA,@HOU,8,C,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-09-07,SEA,@HOU,8,C,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Tom Murphy,2021-09-05,SEA,@ARI,6,C,1,3,5,2,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,.667
Tom Murphy,2021-09-03,SEA,@ARI,6,C,1,1,3,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-09-01,SEA,HOU,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-08-30,SEA,HOU,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Tom Murphy,2021-08-28,SEA,KCR,6,DH,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-08-27,SEA,KCR,7,C,1,4,5,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,.250
Tom Murphy,2021-08-24,SEA,@OAK,7,C,1,3,4,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.667
Tom Murphy,2021-08-22,SEA,@HOU,7,C,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.000
Tom Murphy,2021-08-19,SEA,@TEX,7,C,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Tom Murphy,2021-08-17,SEA,@TEX,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-08-14,SEA,TOR,8,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Tom Murphy,2021-08-13,SEA,TOR,8,C,1,3,3,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.333
Tom Murphy,2021-08-10,SEA,TEX,8,C,1,2,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
Tom Murphy,2021-08-07,SEA,@NYY,5,C,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Tom Murphy,2021-08-06,SEA,@NYY,9,PR-C,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-08-05,SEA,@NYY,7,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Tom Murphy,2021-08-04,SEA,@TBR,7,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Tom Murphy,2021-07-31,SEA,@TEX,7,PR-C,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-07-30,SEA,@TEX,7,C,1,4,5,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.250
Tom Murphy,2021-07-28,SEA,HOU,7,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Tom Murphy,2021-07-26,SEA,HOU,8,PH,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-07-25,SEA,OAK,6,C,1,3,4,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.667
Tom Murphy,2021-07-22,SEA,OAK,6,C,1,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.500
Tom Murphy,2021-07-21,SEA,@COL,6,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333
Tom Murphy,2021-07-18,SEA,@LAA,6,C,1,3,4,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,.000
Tom Murphy,2021-07-11,SEA,LAA,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-07-10,SEA,LAA,6,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-07-08,SEA,NYY,5,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-07-07,SEA,NYY,6,C,1,3,4,2,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,.667
Tom Murphy,2021-07-03,SEA,TEX,8,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Tom Murphy,2021-06-30,SEA,@TOR,7,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-06-29,SEA,@TOR,8,C,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Tom Murphy,2021-06-27,SEA,@CHW,8,C,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Tom Murphy,2021-06-25,SEA,@CHW,5,C,1,4,5,2,1,1,0,0,2,1,0,0,2,1,0,0,0,0,0,.500
Tom Murphy,2021-06-22,SEA,COL,6,C,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Tom Murphy,2021-06-19,SEA,TBR,5,C,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Tom Murphy,2021-06-17,SEA,TBR,4,C,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Tom Murphy,2021-06-15,SEA,MIN,6,C,1,2,5,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,0,.000
