Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Trevor Larnach,2022-06-23,MIN,CLE,7,LF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-22,MIN,CLE,7,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Trevor Larnach,2022-06-21,MIN,CLE,8,PH-LF,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-19,MIN,@ARI,8,LF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-18,MIN,@ARI,7,LF,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Trevor Larnach,2022-06-17,MIN,@ARI,9,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-14,MIN,@SEA,6,LF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-13,MIN,@SEA,7,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-12,MIN,TBR,8,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Trevor Larnach,2022-06-11,MIN,TBR,6,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-10,MIN,TBR,6,LF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Trevor Larnach,2022-06-09,MIN,NYY,7,LF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Trevor Larnach,2022-06-08,MIN,NYY,7,PH-LF,1,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Trevor Larnach,2022-06-07,MIN,NYY,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Trevor Larnach,2022-06-05,MIN,@TOR,5,RF,1,5,5,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,.200
Trevor Larnach,2022-06-04,MIN,@TOR,4,RF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
