Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Trevor Story,2022-07-11,BOS,@TBR,6,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Trevor Story,2022-07-10,BOS,NYY,6,2B,1,4,4,2,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,.500
Trevor Story,2022-07-09,BOS,NYY,6,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Trevor Story,2022-07-08,BOS,NYY,7,2B,1,5,5,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.200
Trevor Story,2022-07-07,BOS,NYY,6,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Trevor Story,2022-07-06,BOS,TBR,6,2B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Trevor Story,2022-07-05,BOS,TBR,6,2B,1,5,5,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,.200
Trevor Story,2022-07-04,BOS,TBR,6,2B,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.500
Trevor Story,2022-07-03,BOS,@CHC,3,2B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Trevor Story,2022-07-02,BOS,@CHC,6,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Trevor Story,2022-07-01,BOS,@CHC,6,2B,1,4,4,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,.250
Trevor Story,2022-06-29,BOS,@TOR,6,PR-2B,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.000
Trevor Story,2022-06-28,BOS,@TOR,6,2B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Trevor Story,2022-06-27,BOS,@TOR,6,2B,1,3,4,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,.000
Trevor Story,2022-06-26,BOS,@CLE,6,2B,1,6,6,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.333
Trevor Story,2022-06-25,BOS,@CLE,6,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Trevor Story,2022-06-24,BOS,@CLE,5,2B,1,4,5,2,2,0,0,0,2,0,1,1,1,0,0,0,0,0,0,.500
Trevor Story,2022-06-22,BOS,DET,6,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.250
Trevor Story,2022-06-21,BOS,DET,6,2B,1,3,3,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.333
Trevor Story,2022-06-20,BOS,DET,6,2B,1,4,4,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,.250
Trevor Story,2022-06-19,BOS,STL,6,2B,1,3,4,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,.333
Trevor Story,2022-06-18,BOS,STL,5,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Trevor Story,2022-06-17,BOS,STL,6,2B,1,4,4,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,.250
Trevor Story,2022-06-16,BOS,OAK,6,2B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Trevor Story,2022-06-15,BOS,OAK,6,2B,1,4,5,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.500
Trevor Story,2022-06-14,BOS,OAK,5,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Trevor Story,2022-06-12,BOS,@SEA,5,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Trevor Story,2022-06-11,BOS,@SEA,1,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Trevor Story,2022-06-10,BOS,@SEA,5,2B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Trevor Story,2022-06-08,BOS,@LAA,5,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.250
Trevor Story,2022-06-07,BOS,@LAA,5,2B,1,5,5,2,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,.400
Trevor Story,2022-06-06,BOS,@LAA,6,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Trevor Story,2022-06-05,BOS,@OAK,6,2B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Trevor Story,2022-06-04,BOS,@OAK,7,2B,1,5,5,2,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,.400
Trevor Story,2022-06-03,BOS,@OAK,6,2B,1,3,5,2,1,1,0,0,0,2,2,1,0,0,0,0,0,1,0,.667
Trevor Story,2022-06-01,BOS,CIN,6,2B,1,3,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,.333
Trevor Story,2022-05-31,BOS,CIN,6,2B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Trevor Story,2022-05-30,BOS,BAL,6,2B,1,2,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
