Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Tucker Barnhart,2022-07-11,DET,@KCR,9,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tucker Barnhart,2022-07-09,DET,@CHW,9,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Tucker Barnhart,2022-07-07,DET,@CHW,9,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Tucker Barnhart,2022-07-06,DET,CLE,9,C,1,2,4,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,.500
Tucker Barnhart,2022-07-04,DET,CLE,9,C,1,3,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Tucker Barnhart,2022-07-03,DET,KCR,9,C,1,3,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.333
Tucker Barnhart,2022-07-01,DET,KCR,9,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-28,DET,@SFG,9,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-25,DET,@ARI,9,C,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-22,DET,@BOS,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-20,DET,@BOS,9,C,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Tucker Barnhart,2022-06-19,DET,TEX,9,C,1,3,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-17,DET,TEX,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-15,DET,CHW,4,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-14,DET,CHW,9,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Tucker Barnhart,2022-06-13,DET,CHW,9,C,1,2,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
Tucker Barnhart,2022-06-12,DET,TOR,9,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-10,DET,TOR,8,C,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-07,DET,@PIT,8,C,1,3,4,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,.667
Tucker Barnhart,2022-06-04,DET,@NYY,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-06-03,DET,@NYY,8,C,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Tucker Barnhart,2022-06-01,DET,MIN,8,C,1,3,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.333
Tucker Barnhart,2022-05-31,DET,MIN,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tucker Barnhart,2022-05-30,DET,MIN,8,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tucker Barnhart,2022-05-28,DET,CLE,9,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
