Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Tyler O'Neill,2022-06-19,STL,@BOS,5,LF,1,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,.750
Tyler O'Neill,2022-06-18,STL,@BOS,6,LF,1,4,5,3,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,.750
Tyler O'Neill,2022-06-17,STL,@BOS,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Tyler O'Neill,2022-06-15,STL,PIT,6,LF,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Tyler O'Neill,2022-06-14,STL,PIT,5,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tyler O'Neill,2022-06-14,STL,PIT,5,LF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Tyler O'Neill,2022-06-13,STL,PIT,5,LF,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.500
Tyler O'Neill,2022-06-12,STL,CIN,3,LF,1,5,5,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,.200
Tyler O'Neill,2022-06-11,STL,CIN,5,LF,1,2,4,1,0,1,0,0,0,3,1,0,1,0,1,0,0,0,1,.500
Tyler O'Neill,2022-06-10,STL,CIN,5,LF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Tyler O'Neill,2022-06-09,STL,@TBR,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Tyler O'Neill,2022-06-08,STL,@TBR,4,LF,1,4,4,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.500
Tyler O'Neill,2022-06-07,STL,@TBR,5,LF,1,5,5,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.400
Tyler O'Neill,2022-05-17,STL,@NYM,6,LF,1,5,5,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,.200
Tyler O'Neill,2022-05-17,STL,@NYM,7,LF,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Tyler O'Neill,2022-05-14,STL,SFG,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Tyler O'Neill,2022-05-13,STL,SFG,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
