Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Wander Franco,2022-07-09,TBR,@CIN,2,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wander Franco,2022-07-08,TBR,@CIN,2,SS,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250
Wander Franco,2022-07-06,TBR,@BOS,3,SS,1,4,5,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.250
Wander Franco,2022-07-05,TBR,@BOS,3,SS,1,2,5,1,1,0,0,0,3,0,3,0,1,0,0,0,0,1,0,.500
Wander Franco,2022-07-04,TBR,@BOS,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Wander Franco,2022-07-03,TBR,@TOR,2,SS,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Wander Franco,2022-07-02,TBR,@TOR,2,DH,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,.250
Wander Franco,2022-07-02,TBR,@TOR,2,SS,1,4,5,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,.250
Wander Franco,2022-07-01,TBR,@TOR,3,SS,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200
Wander Franco,2022-06-30,TBR,@TOR,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Wander Franco,2022-06-29,TBR,MIL,2,DH,1,5,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.200
Wander Franco,2022-06-28,TBR,MIL,2,SS,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Wander Franco,2022-06-26,TBR,PIT,2,SS,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
Wander Franco,2022-05-30,TBR,@TEX,2,SS,1,4,5,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.750
Wander Franco,2022-05-29,TBR,NYY,3,SS,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Wander Franco,2022-05-28,TBR,NYY,3,SS,1,3,4,1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,.333
Wander Franco,2022-05-27,TBR,NYY,3,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wander Franco,2022-05-26,TBR,NYY,2,DH,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Wander Franco,2022-05-25,TBR,MIA,2,SS,1,4,4,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Wander Franco,2022-05-24,TBR,MIA,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Wander Franco,2022-05-22,TBR,@BAL,7,PH-SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wander Franco,2022-05-20,TBR,@BAL,2,SS,1,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Wander Franco,2022-05-18,TBR,DET,2,SS,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,.333
Wander Franco,2022-05-17,TBR,DET,2,SS,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Wander Franco,2022-05-16,TBR,DET,2,DH,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Wander Franco,2022-05-15,TBR,TOR,2,SS,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Wander Franco,2022-05-14,TBR,TOR,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wander Franco,2022-05-13,TBR,TOR,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Wander Franco,2022-05-11,TBR,@LAA,2,DH,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wander Franco,2022-05-10,TBR,@LAA,2,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wander Franco,2022-05-09,TBR,@LAA,2,SS,1,5,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.600
