Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Whit Merrifield,2022-07-10,KCR,CLE,1,2B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Whit Merrifield,2022-07-09,KCR,CLE,1,2B,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Whit Merrifield,2022-07-08,KCR,CLE,1,2B,1,4,4,3,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.750
Whit Merrifield,2022-07-07,KCR,@HOU,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Whit Merrifield,2022-07-06,KCR,@HOU,1,2B,1,5,5,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,.200
Whit Merrifield,2022-07-05,KCR,@HOU,1,2B,1,5,5,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,.400
Whit Merrifield,2022-07-04,KCR,@HOU,1,2B,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,.400
Whit Merrifield,2022-07-03,KCR,@DET,1,RF-2B,1,2,5,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,.500
Whit Merrifield,2022-07-02,KCR,@DET,1,2B,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.500
Whit Merrifield,2022-07-01,KCR,@DET,1,2B,1,3,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,.333
Whit Merrifield,2022-06-29,KCR,TEX,1,2B-RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Whit Merrifield,2022-06-28,KCR,TEX,1,2B,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,.000
Whit Merrifield,2022-06-27,KCR,TEX,1,2B,1,5,5,2,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,.400
Whit Merrifield,2022-06-26,KCR,OAK,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.250
Whit Merrifield,2022-06-25,KCR,OAK,1,2B,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Whit Merrifield,2022-06-24,KCR,OAK,1,2B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Whit Merrifield,2022-06-22,KCR,@LAA,1,RF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Whit Merrifield,2022-06-21,KCR,@LAA,1,2B,1,6,6,2,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,.333
Whit Merrifield,2022-06-20,KCR,@LAA,1,2B,1,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.400
Whit Merrifield,2022-06-19,KCR,@OAK,1,2B,1,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Whit Merrifield,2022-06-18,KCR,@OAK,1,RF-2B,1,4,5,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.250
Whit Merrifield,2022-06-17,KCR,@OAK,1,2B,1,5,5,3,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.600
Whit Merrifield,2022-06-15,KCR,@SFG,1,RF-2B,1,3,4,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,.333
Whit Merrifield,2022-06-14,KCR,@SFG,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Whit Merrifield,2022-06-13,KCR,@SFG,1,2B,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.333
Whit Merrifield,2022-06-12,KCR,BAL,1,2B,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Whit Merrifield,2022-06-11,KCR,BAL,1,2B,1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.500
Whit Merrifield,2022-06-10,KCR,BAL,1,2B,1,5,5,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
