Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Wil Myers,2022-05-31,SDP,@STL,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2022-05-28,SDP,PIT,6,RF,1,4,5,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.500
Wil Myers,2022-05-27,SDP,PIT,4,RF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2022-05-25,SDP,MIL,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2022-05-24,SDP,MIL,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2022-05-23,SDP,MIL,5,RF,1,4,5,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,.250
Wil Myers,2022-05-22,SDP,@SFG,5,RF,1,5,5,3,2,1,0,0,1,3,0,0,1,0,0,0,0,0,0,.600
Wil Myers,2022-05-21,SDP,@SFG,4,RF,1,4,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Wil Myers,2022-05-20,SDP,@SFG,5,RF,1,5,5,2,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,.400
Wil Myers,2022-05-19,SDP,@PHI,5,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2022-05-18,SDP,@PHI,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2022-05-17,SDP,@PHI,6,RF,1,3,4,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,.333
Wil Myers,2022-05-15,SDP,@ATL,6,RF,1,5,5,2,2,0,0,0,1,3,0,0,2,0,0,0,0,0,0,.400
Wil Myers,2022-05-14,SDP,@ATL,6,RF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Wil Myers,2022-05-13,SDP,@ATL,6,RF,1,4,5,3,2,0,0,1,2,2,0,0,0,0,1,0,0,0,0,.750
Wil Myers,2022-05-11,SDP,CHC,5,RF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Wil Myers,2022-05-10,SDP,CHC,5,RF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2022-04-26,SDP,@CIN,6,RF,1,3,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.667
Wil Myers,2022-04-24,SDP,LAD,6,RF,1,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.333
Wil Myers,2022-04-23,SDP,LAD,6,RF,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.333
Wil Myers,2022-04-22,SDP,LAD,7,RF,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Wil Myers,2022-04-20,SDP,CIN,6,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Wil Myers,2022-04-19,SDP,CIN,7,RF,1,4,4,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,.250
Wil Myers,2022-04-18,SDP,CIN,6,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Wil Myers,2022-04-14,SDP,ATL,7,RF,1,5,5,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.400
Wil Myers,2022-04-13,SDP,@SFG,7,RF,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Wil Myers,2022-04-12,SDP,@SFG,7,RF-P,1,4,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Wil Myers,2022-04-11,SDP,@SFG,6,RF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2022-04-10,SDP,@ARI,6,RF,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Wil Myers,2022-04-09,SDP,@ARI,8,RF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2022-04-08,SDP,@ARI,7,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Wil Myers,2022-04-07,SDP,@ARI,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Wil Myers,2021-10-03,SDP,@SFG,5,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-10-01,SDP,@SFG,6,RF,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Wil Myers,2021-09-30,SDP,@LAD,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-09-29,SDP,@LAD,9,PH-RF,1,3,3,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,.667
Wil Myers,2021-09-28,SDP,@LAD,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Wil Myers,2021-09-26,SDP,ATL,9,PH,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Wil Myers,2021-09-25,SDP,ATL,6,RF,1,5,5,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,.200
Wil Myers,2021-09-24,SDP,ATL,5,RF,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Wil Myers,2021-09-22,SDP,SFG,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Wil Myers,2021-09-21,SDP,SFG,9,RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-09-19,SDP,@STL,7,RF,1,4,4,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.500
Wil Myers,2021-09-18,SDP,@STL,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wil Myers,2021-09-17,SDP,@STL,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wil Myers,2021-09-16,SDP,@SFG,9,PH,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000
Wil Myers,2021-09-15,SDP,@SFG,9,PH-RF,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
Wil Myers,2021-09-14,SDP,@SFG,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-09-13,SDP,@SFG,7,RF,1,4,4,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
Wil Myers,2021-09-12,SDP,@LAD,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Wil Myers,2021-09-11,SDP,@LAD,6,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Wil Myers,2021-09-10,SDP,@LAD,5,LF,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Wil Myers,2021-09-08,SDP,LAA,6,LF,1,2,4,0,0,0,0,0,2,1,2,0,2,0,0,0,0,0,0,.000
Wil Myers,2021-09-07,SDP,LAA,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wil Myers,2021-09-05,SDP,HOU,5,LF,1,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Wil Myers,2021-09-04,SDP,HOU,5,RF-LF,1,4,4,2,0,1,0,1,2,2,0,0,0,0,0,0,1,0,0,.500
Wil Myers,2021-09-03,SDP,HOU,4,LF,1,2,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-09-01,SDP,@ARI,6,LF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2021-08-30,SDP,@ARI,6,LF,1,3,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,.333
Wil Myers,2021-08-28,SDP,@LAA,6,RF-LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2021-08-25,SDP,LAD,7,LF,1,2,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.500
Wil Myers,2021-08-24,SDP,LAD,7,RF,1,2,4,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.500
Wil Myers,2021-08-22,SDP,PHI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wil Myers,2021-08-21,SDP,PHI,7,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-08-20,SDP,PHI,7,RF-LF,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Wil Myers,2021-08-18,SDP,@COL,7,LF,1,4,4,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,0,.500
Wil Myers,2021-08-17,SDP,@COL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Wil Myers,2021-08-16,SDP,@COL,7,LF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.500
Wil Myers,2021-08-15,SDP,@ARI,9,PH-RF,1,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-08-14,SDP,@ARI,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-08-13,SDP,@ARI,7,RF,1,4,4,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,.750
Wil Myers,2021-08-12,SDP,@ARI,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Wil Myers,2021-08-11,SDP,MIA,6,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2021-08-10,SDP,MIA,7,RF,1,2,4,2,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1.000
Wil Myers,2021-08-09,SDP,MIA,6,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Wil Myers,2021-08-08,SDP,ARI,7,RF,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Wil Myers,2021-08-07,SDP,ARI,6,RF,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.500
Wil Myers,2021-08-06,SDP,ARI,5,RF,1,3,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000
