Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Yan Gomes,2022-07-09,CHC,@LAD,7,C,1,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Yan Gomes,2022-07-08,CHC,@LAD,6,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-07-07,CHC,@LAD,7,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-07-06,CHC,@MIL,6,PH-C,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-07-05,CHC,@MIL,7,C,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Yan Gomes,2022-07-04,CHC,@MIL,7,DH,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-07-03,CHC,BOS,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-07-02,CHC,BOS,6,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-07-01,CHC,BOS,6,DH,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-06-30,CHC,CIN,6,C,1,4,5,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,.250
Yan Gomes,2022-06-28,CHC,CIN,7,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Yan Gomes,2022-06-26,CHC,@STL,7,C,1,5,5,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.400
Yan Gomes,2022-06-25,CHC,@STL,7,DH,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Yan Gomes,2022-06-24,CHC,@STL,6,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Yan Gomes,2022-06-23,CHC,@PIT,5,DH,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-06-22,CHC,@PIT,5,C,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200
Yan Gomes,2022-06-19,CHC,ATL,7,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Yan Gomes,2022-06-17,CHC,ATL,7,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Yan Gomes,2022-06-16,CHC,SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-06-15,CHC,SDP,5,C,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
Yan Gomes,2022-06-14,CHC,SDP,5,DH,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Yan Gomes,2022-06-13,CHC,SDP,6,C,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Yan Gomes,2022-06-11,CHC,@NYY,6,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Yan Gomes,2022-06-10,CHC,@NYY,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-05-23,CHC,@CIN,5,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-05-21,CHC,ARI,4,C,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Yan Gomes,2022-05-20,CHC,ARI,2,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-05-19,CHC,ARI,5,C,1,4,4,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.500
Yan Gomes,2022-05-18,CHC,PIT,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-05-16,CHC,PIT,5,C,1,5,5,3,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,.600
Yan Gomes,2022-05-15,CHC,@ARI,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-05-14,CHC,@ARI,4,C,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Yan Gomes,2022-05-10,CHC,@SDP,8,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-05-09,CHC,@SDP,4,C,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Yan Gomes,2022-05-07,CHC,LAD,7,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-05-07,CHC,LAD,3,DH,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333
Yan Gomes,2022-05-04,CHC,CHW,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-05-03,CHC,CHW,8,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Yan Gomes,2022-05-01,CHC,@MIL,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-04-30,CHC,@MIL,6,C,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.333
Yan Gomes,2022-04-27,CHC,@ATL,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-04-26,CHC,@ATL,6,DH,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2022-04-22,CHC,PIT,7,C,1,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-04-20,CHC,TBR,8,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2022-04-18,CHC,TBR,5,DH,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Yan Gomes,2022-04-17,CHC,@COL,6,C,1,5,5,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.400
Yan Gomes,2022-04-14,CHC,@COL,6,C,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Yan Gomes,2022-04-10,CHC,MIL,8,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Yan Gomes,2021-10-03,OAK,@HOU,6,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-10-01,OAK,@HOU,6,C,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-09-29,OAK,@SEA,9,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Yan Gomes,2021-09-28,OAK,@SEA,4,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Yan Gomes,2021-09-26,OAK,HOU,9,C,1,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.500
Yan Gomes,2021-09-24,OAK,HOU,8,C,1,3,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.667
Yan Gomes,2021-09-23,OAK,SEA,4,DH,1,2,3,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,.500
Yan Gomes,2021-09-21,OAK,SEA,5,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Yan Gomes,2021-09-20,OAK,SEA,5,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Yan Gomes,2021-09-19,OAK,@LAA,8,C,1,4,5,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,.250
Yan Gomes,2021-09-17,OAK,@LAA,7,C,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Yan Gomes,2021-09-16,OAK,@KCR,5,PH-DH,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2021-09-15,OAK,@KCR,7,C,1,4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-09-14,OAK,@KCR,4,PH-DH,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Yan Gomes,2021-09-12,OAK,TEX,5,C,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
Yan Gomes,2021-09-11,OAK,TEX,5,C,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.000
Yan Gomes,2021-09-08,OAK,CHW,6,C,1,3,4,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,.667
Yan Gomes,2021-09-07,OAK,CHW,8,C,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Yan Gomes,2021-09-05,OAK,@TOR,6,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Yan Gomes,2021-09-04,OAK,@TOR,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2021-09-03,OAK,@TOR,8,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Yan Gomes,2021-09-02,OAK,@DET,8,C,1,5,5,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.400
Yan Gomes,2021-09-01,OAK,@DET,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-08-31,OAK,@DET,4,C,1,4,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Yan Gomes,2021-08-29,OAK,NYY,4,C,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Yan Gomes,2021-08-28,OAK,NYY,4,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Yan Gomes,2021-08-23,OAK,SEA,4,C,1,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.250
Yan Gomes,2021-08-22,OAK,SFG,8,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Yan Gomes,2021-08-21,OAK,SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yan Gomes,2021-08-20,OAK,SFG,5,C,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Yan Gomes,2021-08-18,OAK,@CHW,7,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Yan Gomes,2021-08-16,OAK,@CHW,4,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-08-15,OAK,@TEX,4,DH,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-08-13,OAK,@TEX,5,C,1,4,4,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,.250
Yan Gomes,2021-08-11,OAK,@CLE,5,C,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Yan Gomes,2021-08-07,OAK,TEX,5,C,1,5,5,2,0,1,0,1,2,4,0,0,1,0,0,0,0,0,0,.400
Yan Gomes,2021-08-06,OAK,TEX,6,PH-DH,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yan Gomes,2021-08-04,OAK,SDP,9,PH-C,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
