Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Yoán Moncada,2022-07-11,CHW,@CLE,2,3B,1,4,4,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.250
Yoán Moncada,2022-07-10,CHW,DET,1,3B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Yoán Moncada,2022-07-09,CHW,DET,6,3B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Yoán Moncada,2022-07-08,CHW,DET,8,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yoán Moncada,2022-07-07,CHW,DET,6,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yoán Moncada,2022-07-06,CHW,MIN,7,3B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Yoán Moncada,2022-07-05,CHW,MIN,6,3B,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Yoán Moncada,2022-07-04,CHW,MIN,6,3B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,.250
Yoán Moncada,2022-07-03,CHW,@SFG,6,3B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Yoán Moncada,2022-07-02,CHW,@SFG,6,3B,1,3,4,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.667
Yoán Moncada,2022-07-01,CHW,@SFG,6,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-29,CHW,@LAA,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-28,CHW,@LAA,6,3B,1,5,5,2,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,.400
Yoán Moncada,2022-06-17,CHW,@HOU,6,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-15,CHW,@DET,5,3B,1,6,6,5,3,1,0,1,2,5,0,0,0,0,0,0,0,0,0,.833
Yoán Moncada,2022-06-14,CHW,@DET,5,3B,1,4,5,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,.250
Yoán Moncada,2022-06-13,CHW,@DET,6,3B,1,4,5,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,.250
Yoán Moncada,2022-06-12,CHW,TEX,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-11,CHW,TEX,6,3B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-10,CHW,TEX,6,3B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Yoán Moncada,2022-06-09,CHW,LAD,5,3B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-08,CHW,LAD,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yoán Moncada,2022-06-07,CHW,LAD,7,3B,1,3,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.333
Yoán Moncada,2022-06-04,CHW,@TBR,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Yoán Moncada,2022-06-03,CHW,@TBR,3,3B,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
Yoán Moncada,2022-06-02,CHW,@TOR,3,3B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Yoán Moncada,2022-06-01,CHW,@TOR,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yoán Moncada,2022-05-29,CHW,CHC,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Yoán Moncada,2022-05-25,CHW,BOS,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Yoán Moncada,2022-05-24,CHW,BOS,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yoán Moncada,2022-05-22,CHW,@NYY,2,3B,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Yoán Moncada,2022-05-22,CHW,@NYY,1,3B,1,5,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
