Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Aaron Nola,2022-07-11,PHI,@STL,1,0,1,6.43,1,1,0,0,0,0,0,7.0,28,7,5,5,1,0,0,0,0,0,7,53
Aaron Nola,2022-07-06,PHI,WSN,1,0,1,3.52,1,1,0,0,0,0,0,7.2,29,7,3,3,0,1,0,0,0,0,3,63
Aaron Nola,2022-06-30,PHI,ATL,1,1,0,5.14,1,1,0,0,0,0,0,7.0,29,7,4,4,2,1,0,0,0,0,8,49
Aaron Nola,2022-06-24,PHI,@SDP,1,0,1,1.29,1,1,0,0,0,0,0,7.0,28,7,1,1,0,2,0,0,0,0,10,70
Aaron Nola,2022-06-18,PHI,@WSN,1,0,0,0.00,1,1,0,0,0,0,0,8.0,28,4,0,0,0,1,1,0,0,0,8,85
Aaron Nola,2022-06-13,PHI,MIA,1,0,0,2.57,1,1,0,0,0,0,0,7.0,27,6,2,2,0,0,0,0,0,0,6,69
Aaron Nola,2022-06-08,PHI,@MIL,1,1,0,0.00,1,1,0,0,0,0,0,8.0,28,5,0,0,0,0,0,0,0,0,6,83
Aaron Nola,2022-06-01,PHI,SFG,1,1,0,7.50,1,1,0,0,0,0,0,6.0,24,5,5,5,1,0,0,1,0,0,5,49
Aaron Nola,2022-05-26,PHI,@ATL,1,1,0,1.08,1,1,0,0,0,0,0,8.1,31,5,1,1,0,0,0,1,0,0,10,86
Aaron Nola,2022-05-21,PHI,LAD,1,0,0,6.75,1,1,0,0,0,0,0,5.1,22,5,4,4,2,1,0,0,0,0,9,44
Aaron Nola,2022-05-15,PHI,@LAD,1,0,0,2.57,1,1,0,0,0,0,0,7.0,26,4,2,2,1,2,0,1,0,0,8,65
Aaron Nola,2022-05-10,PHI,@SEA,1,0,1,6.75,1,1,0,0,0,0,0,5.1,27,9,5,4,0,1,0,0,0,0,6,42
Aaron Nola,2022-05-05,PHI,NYM,1,0,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,1,1,0,0,0,0,7,71
