Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Adonis Medina,2022-07-06,NYM,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,3.0,10,1,0,0,0,1,0,0,0,0,4,
Adonis Medina,2022-07-02,NYM,TEX,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,0,
Adonis Medina,2022-06-28,NYM,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,2,
Adonis Medina,2022-06-21,NYM,@HOU,0,0,0,3.00,1,0,0,0,0,0,0,3.0,12,3,1,1,1,1,0,0,0,0,1,
Adonis Medina,2022-06-17,NYM,MIA,0,0,0,6.75,1,0,0,0,0,0,0,1.1,9,2,1,1,0,2,0,1,0,1,1,
Adonis Medina,2022-06-05,NYM,@LAD,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,0,0,0,0,0,1,
Adonis Medina,2022-05-31,NYM,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Adonis Medina,2022-05-21,NYM,@COL,0,0,0,33.75,1,0,0,0,0,0,0,1.1,12,6,5,5,1,0,0,1,0,0,1,
Adonis Medina,2022-05-17,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,2.2,12,3,0,0,0,0,0,1,0,0,2,
Adonis Medina,2022-05-05,NYM,@PHI,0,1,0,0.00,1,0,0,0,0,0,0,2.2,9,1,0,0,0,0,0,1,0,0,1,
Adonis Medina,2022-04-23,NYM,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Adonis Medina,2021-10-03,PHI,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Adonis Medina,2021-09-26,PHI,PIT,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,1,0,0,1,
Adonis Medina,2021-09-21,PHI,BAL,1,0,0,2.45,1,1,0,0,0,0,0,3.2,18,4,1,1,0,2,0,2,0,0,3,50
Adonis Medina,2021-09-16,PHI,CHC,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,1,0,0,0,0,0,
Adonis Medina,2020-09-20,PHI,TOR,1,0,1,4.50,1,1,0,0,0,0,0,4.0,18,3,2,2,0,3,0,0,0,1,4,51
