Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Alex Vesia,2022-07-10,LAD,CHC,0,0,0,0.00,1,0,0,0,0,1,0,1.2,6,0,0,0,0,0,0,1,0,0,2,
Alex Vesia,2022-07-07,LAD,CHC,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-07-02,LAD,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Alex Vesia,2022-06-30,LAD,SDP,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Alex Vesia,2022-06-28,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,0,
Alex Vesia,2022-06-26,LAD,@ATL,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,2,1,1,0,1,0,0,0,0,0,
Alex Vesia,2022-06-25,LAD,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-06-22,LAD,@CIN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Alex Vesia,2022-06-19,LAD,CLE,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,0,0,0,0,0,0,0,
Alex Vesia,2022-06-17,LAD,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Alex Vesia,2022-06-12,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Alex Vesia,2022-06-11,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-06-09,LAD,@CHW,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,2,2,1,0,2,0,0,0,0,2,
Alex Vesia,2022-06-05,LAD,NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
Alex Vesia,2022-06-04,LAD,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Alex Vesia,2022-06-01,LAD,PIT,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Alex Vesia,2022-05-28,LAD,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Alex Vesia,2022-05-27,LAD,@ARI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,1,0,1,
Alex Vesia,2022-05-22,LAD,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Alex Vesia,2022-05-21,LAD,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Alex Vesia,2022-05-20,LAD,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Alex Vesia,2022-05-17,LAD,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-05-15,LAD,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Alex Vesia,2022-05-13,LAD,PHI,0,0,0,27.00,1,0,0,0,0,0,0,0.0,3,1,3,3,0,2,0,0,0,0,0,
Alex Vesia,2022-05-11,LAD,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-05-10,LAD,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,0,0,0,0,0,0,
Alex Vesia,2022-05-03,LAD,SFG,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-05-01,LAD,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Alex Vesia,2022-04-26,LAD,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Alex Vesia,2022-04-23,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Alex Vesia,2022-04-22,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-04-19,LAD,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-04-17,LAD,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Alex Vesia,2022-04-13,LAD,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Alex Vesia,2021-10-01,LAD,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,4,0,0,0,0,0,0,0,0,0,3,
Alex Vesia,2021-09-24,LAD,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Alex Vesia,2021-09-22,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,7,2,4,0,1,2,1,0,0,0,0,
Alex Vesia,2021-09-21,LAD,@COL,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Alex Vesia,2021-09-18,LAD,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,1,1,0,0,1,0,0,0,0,0,
Alex Vesia,2021-09-15,LAD,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,0,0,1,0,0,1,
Alex Vesia,2021-09-13,LAD,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,1,0,0,0,0,2,
Alex Vesia,2021-09-09,LAD,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Alex Vesia,2021-09-07,LAD,@STL,0,1,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-09-04,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-09-03,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Alex Vesia,2021-09-01,LAD,ATL,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,0,
Alex Vesia,2021-08-27,LAD,COL,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,1,1,0,0,0,0,2,
Alex Vesia,2021-08-25,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,1,0,0,0,1,
Alex Vesia,2021-08-24,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-08-20,LAD,NYM,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,0,0,0,0,1,0,0,0,0,1,
Alex Vesia,2021-08-19,LAD,NYM,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-08-16,LAD,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-08-14,LAD,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-08-12,LAD,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Alex Vesia,2021-08-10,LAD,@PHI,0,1,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,4,
Alex Vesia,2021-08-07,LAD,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Alex Vesia,2021-07-31,LAD,@ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Alex Vesia,2021-07-30,LAD,@ARI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,
Alex Vesia,2021-07-29,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Alex Vesia,2021-07-24,LAD,COL,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,0,0,0,0,
Alex Vesia,2021-07-23,LAD,COL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Alex Vesia,2021-07-19,LAD,SFG,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Alex Vesia,2021-07-18,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-07-11,LAD,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-07-09,LAD,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-06-02,LAD,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Alex Vesia,2021-05-30,LAD,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-05-29,LAD,SFG,0,0,0,27.00,1,0,0,0,0,0,0,0.2,7,2,2,2,1,2,1,1,0,0,0,
Alex Vesia,2021-05-27,LAD,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Alex Vesia,2021-05-22,LAD,@SFG,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,1,
Alex Vesia,2021-05-20,LAD,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Alex Vesia,2021-05-18,LAD,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Alex Vesia,2021-05-16,LAD,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,3,
Alex Vesia,2021-05-04,LAD,@CHC,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,1,1,1,1,0,0,0,0,0,2,
Alex Vesia,2021-05-01,LAD,@MIL,0,0,1,18.00,1,0,0,0,0,0,1,1.0,7,0,4,2,0,4,0,0,0,0,2,
Alex Vesia,2020-09-09,MIA,@ATL,0,0,0,27.00,1,0,0,0,0,0,0,1.1,10,3,5,4,1,3,0,0,0,0,3,
Alex Vesia,2020-09-04,MIA,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,1,0,0,0,2,0,0,0,0,1,
Alex Vesia,2020-08-31,MIA,@NYM,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Alex Vesia,2020-08-29,MIA,TBR,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,1,2,2,0,1,0,0,0,0,0,
Alex Vesia,2020-07-25,MIA,@PHI,0,0,1,27.00,1,0,0,0,0,0,0,0.2,4,1,2,2,1,1,0,0,0,0,1,
