Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Anthony Banda,2022-07-07,TOR,@SEA,1,0,1,54.00,1,1,0,0,0,0,0,0.1,4,2,2,2,0,1,0,0,0,0,0,29
Anthony Banda,2022-07-04,TOR,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Anthony Banda,2022-06-26,PIT,@TBR,0,0,0,18.00,1,0,0,0,0,0,0,0.0,4,3,2,2,0,1,1,0,0,0,0,
Anthony Banda,2022-06-24,PIT,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Anthony Banda,2022-06-21,PIT,CHC,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Anthony Banda,2022-06-18,PIT,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,
Anthony Banda,2022-06-14,PIT,@STL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,0,0,1,
Anthony Banda,2022-06-13,PIT,@STL,0,0,0,81.00,1,0,0,0,0,0,0,0.1,5,4,3,3,1,0,0,0,0,0,0,
Anthony Banda,2022-06-07,PIT,DET,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,1,
Anthony Banda,2022-06-05,PIT,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Anthony Banda,2022-06-03,PIT,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,1,1,0,1,
Anthony Banda,2022-06-01,PIT,@LAD,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Anthony Banda,2022-05-28,PIT,@SDP,0,1,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,1,1,0,0,0,2,
Anthony Banda,2022-05-22,PIT,STL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,0,0,1,
Anthony Banda,2022-05-20,PIT,STL,0,0,0,54.00,1,0,0,0,0,0,0,0.1,5,3,2,2,0,1,0,0,0,0,0,
Anthony Banda,2022-05-17,PIT,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
