Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Austin Voth,2022-07-10,BAL,LAA,1,1,0,3.60,1,1,0,0,0,0,0,5.0,19,4,2,2,1,0,0,0,1,0,6,55
Austin Voth,2022-07-05,BAL,TEX,1,0,0,6.23,1,1,0,0,0,0,0,4.1,18,4,3,3,0,1,0,0,0,0,3,49
Austin Voth,2022-06-29,BAL,@SEA,1,0,1,3.00,1,1,0,0,0,0,0,3.0,15,4,3,1,0,1,0,0,0,0,2,40
Austin Voth,2022-06-24,BAL,@CHW,1,0,0,3.00,1,1,0,0,0,0,0,3.0,12,1,1,1,0,2,0,0,0,0,3,51
Austin Voth,2022-06-19,BAL,TBR,1,0,0,0.00,1,1,0,0,0,0,0,2.2,11,3,0,0,0,1,0,0,0,0,4,51
Austin Voth,2022-06-16,BAL,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,1,0,0,
Austin Voth,2022-06-13,BAL,@TOR,0,0,0,6.75,1,0,0,0,0,0,0,1.1,7,3,1,1,0,0,0,0,0,0,1,
Austin Voth,2022-06-10,BAL,@KCR,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,1,1,0,0,0,0,2,
Austin Voth,2022-05-30,WSN,@NYM,0,0,0,20.25,1,0,0,0,0,0,0,1.1,7,3,3,3,1,0,0,0,0,0,0,
Austin Voth,2022-05-23,WSN,LAD,0,0,0,20.25,1,0,0,0,0,0,0,1.1,8,3,3,3,0,1,0,0,0,0,2,
Austin Voth,2022-05-20,WSN,@MIL,0,0,0,135.00,1,0,0,0,0,0,0,0.1,6,4,5,5,1,1,0,0,0,0,0,
Austin Voth,2022-05-16,WSN,@MIA,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,3,2,2,0,0,0,0,0,0,0,
Austin Voth,2022-05-15,WSN,HOU,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,1,0,0,0,0,0,
Austin Voth,2022-05-11,WSN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,1,
Austin Voth,2022-05-08,WSN,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Austin Voth,2022-05-06,WSN,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2022-05-05,WSN,@COL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Austin Voth,2022-04-29,WSN,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,1,0,2,
Austin Voth,2022-04-28,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Austin Voth,2022-04-26,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Austin Voth,2022-04-24,WSN,SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Austin Voth,2022-04-21,WSN,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Austin Voth,2022-04-19,WSN,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Austin Voth,2022-04-15,WSN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Austin Voth,2022-04-12,WSN,@ATL,0,0,0,20.25,1,0,0,0,0,0,0,1.1,9,4,4,3,1,1,0,0,0,0,1,
Austin Voth,2022-04-09,WSN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,0,
Austin Voth,2022-04-07,WSN,NYM,0,0,0,27.00,1,0,0,0,0,0,0,0.2,6,3,2,2,0,1,0,0,1,0,1,
Austin Voth,2021-10-02,WSN,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Austin Voth,2021-09-29,WSN,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Austin Voth,2021-09-27,WSN,@COL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Austin Voth,2021-09-24,WSN,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,1,0,0,0,1,
Austin Voth,2021-09-22,WSN,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Austin Voth,2021-09-20,WSN,@MIA,0,0,0,13.50,1,0,0,0,0,0,1,0.2,5,2,1,1,0,1,0,0,0,0,0,
Austin Voth,2021-09-19,WSN,COL,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,0,0,0,0,1,0,0,0,0,0,
Austin Voth,2021-09-14,WSN,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Austin Voth,2021-09-13,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-09-08,WSN,@ATL,0,1,0,5.40,1,0,0,0,0,0,1,1.2,8,1,1,1,1,2,0,0,0,0,3,
Austin Voth,2021-09-05,WSN,NYM,0,0,0,54.00,1,0,0,0,0,0,0,0.0,6,5,6,6,2,1,0,0,0,0,0,
Austin Voth,2021-09-03,WSN,NYM,0,0,1,27.00,1,0,0,0,0,0,0,1.0,8,3,4,3,0,2,1,0,0,0,2,
Austin Voth,2021-09-02,WSN,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Austin Voth,2021-08-29,WSN,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-08-25,WSN,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,1,0,0,0,1,
Austin Voth,2021-08-22,WSN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,1,0,0,0,0,0,
Austin Voth,2021-07-26,WSN,@PHI,0,0,0,40.50,1,0,0,0,0,0,0,0.2,6,4,3,3,1,0,0,0,0,0,0,
Austin Voth,2021-07-24,WSN,@BAL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,3,2,2,0,1,0,0,0,0,2,
Austin Voth,2021-07-20,WSN,MIA,0,1,0,27.00,1,0,0,0,0,0,1,1.0,6,2,3,3,1,1,0,0,0,0,1,
Austin Voth,2021-07-11,WSN,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Austin Voth,2021-07-08,WSN,@SDP,0,0,0,0.00,1,0,0,0,0,0,1,1.1,5,1,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-07-05,WSN,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-07-03,WSN,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-07-02,WSN,LAD,0,0,0,36.00,1,0,0,0,0,0,1,0.0,4,3,4,4,0,1,0,0,0,0,0,
Austin Voth,2021-06-29,WSN,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-06-27,WSN,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-06-26,WSN,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,1,0,1,
Austin Voth,2021-06-23,WSN,@PHI,0,0,0,54.00,1,0,0,0,0,1,0,0.1,3,1,2,2,0,1,0,0,0,0,1,
Austin Voth,2021-06-22,WSN,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,0,0,0,0,1,0,0,0,0,2,
Austin Voth,2021-06-19,WSN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-06-06,WSN,@PHI,1,0,0,0.00,1,1,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,54
Austin Voth,2021-06-01,WSN,@ATL,0,1,0,6.00,1,0,0,0,0,0,0,3.0,12,1,2,2,1,1,0,0,0,0,3,
Austin Voth,2021-05-30,WSN,MIL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,0,
Austin Voth,2021-05-26,WSN,CIN,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,2,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-05-22,WSN,BAL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,2,1,1,1,1,0,0,0,0,3,
Austin Voth,2021-05-20,WSN,@CHC,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,3,1,1,1,0,0,0,0,0,2,
Austin Voth,2021-05-18,WSN,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Austin Voth,2021-05-15,WSN,@ARI,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Austin Voth,2021-05-13,WSN,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-05-09,WSN,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,1,0,0,0,3,1,0,0,0,2,
Austin Voth,2021-05-06,WSN,ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,5,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-05-04,WSN,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Austin Voth,2021-05-01,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,3,
Austin Voth,2021-04-25,WSN,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,3.0,9,1,0,0,0,0,0,1,0,0,4,
Austin Voth,2021-04-23,WSN,@NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,3,1,1,0,1,0,0,0,0,2,
Austin Voth,2021-04-18,WSN,ARI,0,0,0,4.50,1,0,0,0,0,0,0,2.0,10,3,1,1,0,2,0,0,0,0,1,
Austin Voth,2021-04-14,WSN,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-04-13,WSN,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Austin Voth,2021-04-10,WSN,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,1,0,0,0,1,
Austin Voth,2020-09-27,WSN,NYM,1,1,0,7.20,1,1,0,0,0,0,0,5.0,23,9,4,4,2,0,0,0,0,0,4,33
Austin Voth,2020-09-22,WSN,PHI,1,1,0,1.29,1,1,1,0,0,0,0,7.0,26,3,1,1,1,1,0,0,0,0,7,73
Austin Voth,2020-09-16,WSN,@TBR,1,0,0,1.80,1,1,0,0,0,0,0,5.0,23,4,1,1,0,3,2,1,0,0,6,60
Austin Voth,2020-09-10,WSN,ATL,1,0,0,6.23,1,1,0,0,0,0,0,4.1,18,2,3,3,1,2,0,1,0,0,4,48
Austin Voth,2020-09-04,WSN,@ATL,1,0,1,9.64,1,1,0,0,0,0,0,4.2,23,7,5,5,3,2,0,0,0,0,5,23
Austin Voth,2020-08-30,WSN,@BOS,1,0,1,22.50,1,1,0,0,0,0,0,2.0,13,6,5,5,2,1,0,0,0,0,3,15
Austin Voth,2020-08-24,WSN,MIA,1,0,1,14.73,1,1,0,0,0,0,0,3.2,20,6,6,6,0,3,0,1,0,0,3,30
Austin Voth,2020-08-18,WSN,@ATL,1,0,0,11.25,1,1,0,0,0,0,0,4.0,22,9,5,5,1,3,0,0,0,0,3,23
Austin Voth,2020-08-13,WSN,@NYM,1,0,1,6.75,1,1,0,0,0,0,0,4.0,20,6,3,3,2,2,0,1,1,0,2,30
Austin Voth,2020-08-08,WSN,BAL,1,0,0,0.00,1,1,0,0,0,0,0,5.0,17,1,0,0,0,1,0,0,0,0,5,72
Austin Voth,2020-07-28,WSN,TOR,1,0,1,3.60,1,1,0,0,0,0,0,5.0,20,4,3,2,2,0,0,0,0,0,2,44
