Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Brad Wieck,2021-07-06,CHC,PHI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,10,3,0,0,0,1,0,0,0,0,4,
Brad Wieck,2021-07-03,CHC,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,
Brad Wieck,2021-06-30,CHC,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Brad Wieck,2021-06-29,CHC,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brad Wieck,2021-06-26,CHC,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Brad Wieck,2021-06-21,CHC,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Brad Wieck,2021-06-18,CHC,MIA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,10,1,0,0,0,3,0,0,0,0,5,
Brad Wieck,2021-06-04,CHC,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Brad Wieck,2021-06-03,CHC,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Brad Wieck,2021-06-02,CHC,SDP,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Brad Wieck,2021-05-30,CHC,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Brad Wieck,2021-05-29,CHC,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Brad Wieck,2021-05-21,CHC,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Brad Wieck,2021-05-11,CHC,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brad Wieck,2021-04-12,CHC,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Brad Wieck,2020-07-25,CHC,MIL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,2,
