Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Braxton Garrett,2022-07-09,MIA,@NYM,1,0,0,4.76,1,1,0,0,0,0,0,5.2,21,3,3,3,2,1,0,0,0,0,3,47
Braxton Garrett,2022-07-04,MIA,@WSN,1,0,0,1.23,1,1,0,0,0,0,0,7.1,25,4,1,1,0,1,0,0,0,0,4,74
Braxton Garrett,2022-06-28,MIA,@STL,1,0,1,9.64,1,1,0,0,0,0,0,4.2,20,7,5,5,0,1,0,0,0,0,5,41
Braxton Garrett,2022-06-23,MIA,COL,1,0,0,1.93,1,1,0,0,0,0,0,4.2,24,9,2,1,0,1,0,0,0,0,7,48
Braxton Garrett,2022-06-18,MIA,@NYM,1,0,1,6.75,1,1,0,0,0,0,0,4.0,19,5,3,3,1,2,0,0,0,0,0,34
Braxton Garrett,2022-06-11,MIA,@HOU,1,1,0,0.00,1,1,0,0,0,0,0,5.2,24,6,1,0,0,1,0,0,0,0,5,61
Braxton Garrett,2022-06-05,MIA,SFG,1,0,1,10.80,1,1,0,0,0,0,0,3.1,18,5,4,4,1,1,0,2,0,0,5,34
Braxton Garrett,2021-08-16,MIA,ATL,1,0,1,9.00,1,1,0,0,0,0,0,3.0,18,3,3,3,0,6,0,0,0,0,2,33
Braxton Garrett,2021-08-10,MIA,@SDP,1,0,0,13.50,1,1,0,0,0,0,0,3.1,19,8,5,5,0,1,0,0,1,0,4,31
Braxton Garrett,2021-08-05,MIA,NYM,1,0,0,0.00,1,1,0,0,0,0,0,5.0,23,5,0,0,0,4,0,0,1,0,6,58
Braxton Garrett,2021-07-24,MIA,SDP,1,1,0,2.57,1,1,0,0,0,0,0,7.0,26,4,2,2,2,1,0,1,1,0,10,64
Braxton Garrett,2021-07-18,MIA,@PHI,1,0,0,4.15,1,1,0,0,0,0,0,4.1,22,7,3,2,1,3,0,0,1,0,2,33
Braxton Garrett,2021-06-14,MIA,@STL,1,0,0,4.15,1,1,0,0,0,0,0,4.1,20,7,2,2,0,1,0,0,0,0,3,47
Braxton Garrett,2021-06-09,MIA,COL,1,0,1,4.50,1,1,0,0,0,0,0,4.0,18,5,2,2,0,3,0,0,0,0,3,45
Braxton Garrett,2021-05-15,MIA,@LAD,0,0,0,9.00,1,0,0,0,0,0,0,3.0,13,3,3,3,0,1,0,1,0,0,2,
Braxton Garrett,2020-09-20,MIA,WSN,1,0,1,13.50,1,1,0,0,0,0,0,2.2,16,5,5,4,2,3,0,0,1,0,2,16
Braxton Garrett,2020-09-13,MIA,PHI,1,1,0,1.80,1,1,0,0,0,0,0,5.0,18,3,1,1,1,2,0,0,0,0,6,58
