Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Brent Suter,2022-07-10,MIL,PIT,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,2,1,1,0,1,0,0,0,0,0,
Brent Suter,2022-07-05,MIL,CHC,0,0,0,3.38,1,0,0,0,0,0,0,2.2,10,2,1,1,0,1,0,0,0,0,4,
Brent Suter,2022-06-30,MIL,@PIT,0,0,1,6.75,1,0,0,0,0,0,0,2.2,10,2,2,2,1,1,0,0,0,0,2,
Brent Suter,2022-06-26,MIL,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Brent Suter,2022-06-21,MIL,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Brent Suter,2022-06-16,MIL,@NYM,0,0,1,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,0,0,0,0,0,1,
Brent Suter,2022-06-14,MIL,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2022-06-10,MIL,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Brent Suter,2022-06-08,MIL,PHI,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,2,
Brent Suter,2022-06-02,MIL,SDP,0,0,0,9.00,1,0,0,0,0,0,0,2.0,8,2,2,2,1,1,0,0,0,0,0,
Brent Suter,2022-05-31,MIL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Brent Suter,2022-05-29,MIL,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2022-05-27,MIL,@STL,0,0,0,9.00,1,0,0,0,0,0,0,2.0,9,3,2,2,0,0,0,0,0,0,1,
Brent Suter,2022-05-22,MIL,WSN,0,0,0,13.50,1,0,0,0,0,0,0,2.0,10,5,3,3,0,0,0,0,0,0,2,
Brent Suter,2022-05-17,MIL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,0,0,0,0,1,
Brent Suter,2022-05-11,MIL,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,2,0,0,0,0,0,0,0,0,0,
Brent Suter,2022-05-10,MIL,@CIN,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2022-05-08,MIL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,3,
Brent Suter,2022-05-04,MIL,CIN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,0,
Brent Suter,2022-05-01,MIL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,0,
Brent Suter,2022-04-28,MIL,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Brent Suter,2022-04-26,MIL,@PIT,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,1,
Brent Suter,2022-04-20,MIL,PIT,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,2,2,2,0,0,0,0,0,0,1,
Brent Suter,2022-04-16,MIL,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Brent Suter,2022-04-15,MIL,STL,0,0,0,18.00,1,0,0,0,0,0,0,0.0,3,2,2,2,1,1,0,0,0,0,0,
Brent Suter,2022-04-10,MIL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,0,1,0,0,2,0,0,0,0,1,
Brent Suter,2021-10-03,MIL,@LAD,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,1,0,0,0,0,0,
Brent Suter,2021-10-01,MIL,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-09-29,MIL,@STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Brent Suter,2021-09-26,MIL,NYM,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-09-24,MIL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-09-21,MIL,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-09-20,MIL,STL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,1,0,0,0,0,0,
Brent Suter,2021-09-08,MIL,PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-09-06,MIL,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Brent Suter,2021-08-31,MIL,@SFG,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,1,0,0,0,0,1,4,
Brent Suter,2021-08-28,MIL,@MIN,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,2,1,1,0,0,0,0,0,0,1,
Brent Suter,2021-08-26,MIL,CIN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Brent Suter,2021-08-21,MIL,WSN,0,0,0,9.00,1,0,0,0,0,0,1,1.0,5,2,1,1,1,0,0,0,0,0,1,
Brent Suter,2021-08-19,MIL,@STL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,
Brent Suter,2021-08-18,MIL,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Brent Suter,2021-08-15,MIL,@PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Brent Suter,2021-08-10,MIL,@CHC,0,0,0,6.75,1,0,0,0,1,0,0,1.1,6,2,1,1,0,0,0,0,0,0,1,
Brent Suter,2021-08-07,MIL,SFG,0,0,0,0.00,1,0,0,0,0,0,1,1.0,5,1,1,0,0,0,0,0,0,0,1,
Brent Suter,2021-08-06,MIL,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Brent Suter,2021-08-04,MIL,PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,1,0,1,0,1,
Brent Suter,2021-08-02,MIL,PIT,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,1,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-07-30,MIL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Brent Suter,2021-07-24,MIL,CHW,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-07-21,MIL,KCR,0,0,1,0.00,1,0,0,0,0,0,1,1.0,8,4,3,0,0,0,0,0,0,0,0,
Brent Suter,2021-07-17,MIL,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Brent Suter,2021-07-16,MIL,@CIN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,6,1,1,0,0,1,0,0,0,0,0,
Brent Suter,2021-07-10,MIL,CIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,3,
Brent Suter,2021-07-08,MIL,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-07-07,MIL,@NYM,0,0,1,9.00,1,0,0,0,0,0,1,0.0,3,1,2,1,0,1,0,1,0,0,0,
Brent Suter,2021-07-02,MIL,@PIT,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,1,1,0,0,0,0,0,
Brent Suter,2021-06-30,MIL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-06-29,MIL,CHC,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-06-26,MIL,COL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,3,
Brent Suter,2021-06-20,MIL,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-06-19,MIL,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Brent Suter,2021-06-18,MIL,@COL,0,0,0,0.00,1,0,0,0,0,0,1,0.2,3,1,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-06-13,MIL,PIT,0,1,0,0.00,1,0,0,0,0,0,0,0.1,4,1,0,0,0,2,1,0,0,0,0,
Brent Suter,2021-06-10,MIL,@CIN,0,1,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,4,
Brent Suter,2021-06-08,MIL,@CIN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-06-05,MIL,ARI,0,0,0,27.00,1,0,0,0,0,0,1,1.0,7,3,3,3,2,1,0,0,0,0,1,
Brent Suter,2021-06-03,MIL,ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.2,8,2,0,0,0,1,0,0,0,0,3,
Brent Suter,2021-05-31,MIL,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-05-29,MIL,@WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Brent Suter,2021-05-27,MIL,SDP,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,1,0,0,0,0,
Brent Suter,2021-05-26,MIL,SDP,0,0,1,0.00,1,0,0,0,0,0,0,1.0,4,1,1,0,0,0,0,0,0,0,1,
Brent Suter,2021-05-22,MIL,@CIN,0,1,0,4.50,1,0,0,0,0,0,1,2.0,9,3,1,1,0,0,0,0,0,0,2,
Brent Suter,2021-05-16,MIL,ATL,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,1,3,2,1,0,0,0,0,0,1,
Brent Suter,2021-05-13,MIL,STL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,2,0,0,0,0,1,
Brent Suter,2021-05-07,MIL,@MIA,1,0,1,11.57,1,1,0,0,0,0,0,2.1,12,4,3,3,0,1,0,0,0,0,2,37
Brent Suter,2021-05-05,MIL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-05-01,MIL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2021-04-27,MIL,MIA,0,0,0,9.00,1,0,0,0,0,1,0,1.0,6,2,1,1,1,1,0,0,0,0,2,
Brent Suter,2021-04-24,MIL,@CHC,0,1,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,0,
Brent Suter,2021-04-21,MIL,@SDP,0,1,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,4,
Brent Suter,2021-04-19,MIL,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-04-16,MIL,PIT,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,2,1,1,0,1,0,0,0,0,2,
Brent Suter,2021-04-13,MIL,CHC,0,0,1,18.00,1,0,0,0,0,0,1,1.0,5,3,2,2,1,0,0,0,0,0,1,
Brent Suter,2021-04-12,MIL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Brent Suter,2021-04-10,MIL,@STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,1,0,0,0,0,0,0,0,1,
Brent Suter,2021-04-06,MIL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,3.0,10,0,0,0,0,1,0,0,0,0,2,
Brent Suter,2021-04-03,MIL,MIN,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,3,1,1,0,0,0,0,0,0,1,
Brent Suter,2020-09-25,MIL,@STL,1,0,0,0.00,1,1,0,0,0,0,0,4.0,14,2,0,0,0,1,0,0,0,0,4,63
Brent Suter,2020-09-20,MIL,KCR,0,0,0,10.80,1,0,0,0,0,0,0,1.2,8,3,2,2,1,0,0,0,0,0,1,
Brent Suter,2020-09-16,MIL,STL,1,0,0,0.00,1,1,0,0,0,0,0,3.0,13,2,0,0,0,2,0,0,0,0,3,54
Brent Suter,2020-09-12,MIL,CHC,1,0,0,0.00,1,1,0,0,0,0,0,3.0,10,1,0,0,0,0,0,0,0,0,6,63
Brent Suter,2020-09-08,MIL,@DET,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,3,1,1,0,0,0,0,0,0,1,
Brent Suter,2020-09-04,MIL,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,2,
Brent Suter,2020-08-31,MIL,PIT,1,0,0,6.00,1,1,0,0,0,0,0,3.0,11,1,2,2,1,1,0,0,0,0,3,46
Brent Suter,2020-08-25,MIL,CIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Brent Suter,2020-08-22,MIL,@PIT,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,1,0,0,0,0,0,1,
Brent Suter,2020-08-18,MIL,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Brent Suter,2020-08-15,MIL,@CHC,0,0,0,0.00,1,0,0,0,0,1,0,2.2,11,3,0,0,0,0,0,0,0,0,5,
Brent Suter,2020-08-12,MIL,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brent Suter,2020-08-09,MIL,CIN,0,1,0,0.00,1,0,0,0,0,0,0,2.0,8,3,0,0,0,0,0,0,0,0,0,
Brent Suter,2020-08-04,MIL,CHW,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Brent Suter,2020-07-28,MIL,@PIT,0,0,0,10.80,1,0,0,0,0,0,0,1.2,11,3,4,2,0,1,0,1,0,0,2,
Brent Suter,2020-07-25,MIL,@CHC,0,1,0,6.75,1,0,0,0,0,0,0,2.2,11,3,2,2,1,0,0,0,0,0,3,
