Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Caleb Thielbar,2022-07-10,MIN,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Caleb Thielbar,2022-07-08,MIN,@TEX,0,0,0,27.00,1,0,0,0,0,0,0,0.1,3,2,1,1,1,0,0,0,0,0,1,
Caleb Thielbar,2022-07-06,MIN,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-07-05,MIN,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Caleb Thielbar,2022-07-01,MIN,BAL,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,1,1,1,0,0,0,0,0,0,0,
Caleb Thielbar,2022-06-29,MIN,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Caleb Thielbar,2022-06-28,MIN,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,2,
Caleb Thielbar,2022-06-26,MIN,COL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,5,2,0,0,0,1,0,0,0,0,0,
Caleb Thielbar,2022-06-23,MIN,CLE,0,0,0,0.00,1,0,0,0,1,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Caleb Thielbar,2022-06-22,MIN,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,1,2,
Caleb Thielbar,2022-06-19,MIN,@ARI,0,0,0,54.00,1,0,0,0,0,0,0,0.2,7,3,4,4,1,2,0,0,0,0,1,
Caleb Thielbar,2022-06-15,MIN,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-06-13,MIN,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Caleb Thielbar,2022-06-11,MIN,TBR,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,0,0,0,0,0,0,3,
Caleb Thielbar,2022-06-08,MIN,NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Caleb Thielbar,2022-05-31,MIN,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Caleb Thielbar,2022-05-29,MIN,KCR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,1,2,
Caleb Thielbar,2022-05-27,MIN,KCR,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-05-25,MIN,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,0,0,0,0,1,
Caleb Thielbar,2022-05-23,MIN,DET,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-05-21,MIN,@KCR,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,1,1,1,1,1,0,0,0,0,0,
Caleb Thielbar,2022-05-17,MIN,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Caleb Thielbar,2022-05-15,MIN,CLE,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-05-14,MIN,CLE,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-05-12,MIN,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,1,0,0,0,1,0,0,0,0,1,
Caleb Thielbar,2022-05-10,MIN,HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Caleb Thielbar,2022-05-08,MIN,OAK,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,3,
Caleb Thielbar,2022-05-05,MIN,@BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
