Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Carlos Estévez,2022-07-11,COL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Carlos Estévez,2022-07-09,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Carlos Estévez,2022-07-07,COL,@ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Carlos Estévez,2022-07-05,COL,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Carlos Estévez,2022-07-01,COL,ARI,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,0,1,0,0,1,0,1,
Carlos Estévez,2022-06-29,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,0,0,0,0,2,
Carlos Estévez,2022-06-25,COL,@MIN,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,0,0,0,1,
Carlos Estévez,2022-06-19,COL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Carlos Estévez,2022-06-17,COL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Carlos Estévez,2022-06-15,COL,CLE,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,0,0,0,0,0,0,
Carlos Estévez,2022-06-11,COL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Carlos Estévez,2022-06-11,COL,@SDP,0,0,1,0.00,1,0,0,0,0,0,0,0.2,2,0,1,0,0,0,0,0,1,0,1,
