Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Casey Sadler,2021-10-03,SEA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Casey Sadler,2021-10-02,SEA,LAA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-10-01,SEA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Casey Sadler,2021-09-28,SEA,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-09-27,SEA,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-09-23,SEA,@OAK,0,0,0,0.00,1,0,0,0,0,1,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Casey Sadler,2021-09-21,SEA,@OAK,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-09-15,SEA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Casey Sadler,2021-09-14,SEA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-09-12,SEA,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-09-10,SEA,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-09-08,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-09-07,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-09-04,SEA,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-09-01,SEA,HOU,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-08-30,SEA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Casey Sadler,2021-08-28,SEA,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Casey Sadler,2021-08-27,SEA,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-08-19,SEA,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-08-18,SEA,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-08-14,SEA,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-08-11,SEA,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-08-08,SEA,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,0,0,1,0,0,0,
Casey Sadler,2021-08-07,SEA,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-08-05,SEA,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Casey Sadler,2021-08-03,SEA,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Casey Sadler,2021-08-01,SEA,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-07-31,SEA,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-07-27,SEA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,1,0,0,0,0,0,
Casey Sadler,2021-07-25,SEA,OAK,0,0,0,13.50,1,0,0,0,0,1,0,0.2,3,1,1,1,1,0,0,0,0,0,1,
Casey Sadler,2021-07-24,SEA,OAK,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Casey Sadler,2021-04-30,SEA,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-04-28,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,1,
Casey Sadler,2021-04-25,SEA,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,1,0,0,0,0,0,
Casey Sadler,2021-04-22,SEA,@BOS,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,1,0,2,
Casey Sadler,2021-04-20,SEA,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Casey Sadler,2021-04-18,SEA,HOU,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,2,
Casey Sadler,2021-04-17,SEA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Casey Sadler,2021-04-13,SEA,@BAL,0,0,1,0.00,1,0,0,0,0,0,0,0.2,5,1,1,0,0,1,0,0,1,0,0,
Casey Sadler,2021-04-10,SEA,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
