Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Chris Stratton,2022-07-10,PIT,@MIL,0,1,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Chris Stratton,2022-07-07,PIT,@CIN,0,0,0,27.00,1,0,0,0,0,0,0,0.1,3,2,1,1,0,0,0,0,0,0,0,
Chris Stratton,2022-07-06,PIT,NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,2,0,0,0,0,0,
Chris Stratton,2022-07-03,PIT,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Chris Stratton,2022-06-30,PIT,MIL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Chris Stratton,2022-06-27,PIT,@WSN,0,0,1,9.00,1,0,0,0,0,0,1,2.0,11,5,2,2,1,0,0,0,0,0,2,
Chris Stratton,2022-06-24,PIT,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,
Chris Stratton,2022-06-23,PIT,CHC,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Chris Stratton,2022-06-21,PIT,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Chris Stratton,2022-06-18,PIT,SFG,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,1,1,1,0,2,0,0,0,0,0,
Chris Stratton,2022-06-13,PIT,@STL,0,0,1,6.75,1,0,0,0,0,0,0,1.1,6,2,1,1,1,0,0,0,0,0,1,
Chris Stratton,2022-06-11,PIT,@ATL,0,0,0,45.00,1,0,0,0,0,0,1,0.0,5,3,5,5,1,1,1,1,1,0,0,
Chris Stratton,2022-06-08,PIT,DET,0,0,0,5.40,1,0,0,0,0,0,0,1.2,6,2,1,1,0,0,0,0,0,0,1,
Chris Stratton,2022-06-05,PIT,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Chris Stratton,2022-06-04,PIT,ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Chris Stratton,2022-06-01,PIT,@LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.2,4,1,0,0,0,0,0,0,0,0,1,
Chris Stratton,2022-05-31,PIT,@LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Chris Stratton,2022-05-29,PIT,@SDP,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,2,1,1,0,0,0,0,0,1,
Chris Stratton,2022-05-28,PIT,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Chris Stratton,2022-05-24,PIT,COL,0,0,0,0.00,1,0,0,0,0,0,1,1.2,6,2,0,0,0,0,0,0,0,0,1,
Chris Stratton,2022-05-20,PIT,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Chris Stratton,2022-05-15,PIT,CIN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Chris Stratton,2022-05-14,PIT,CIN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,2,
Chris Stratton,2022-05-11,PIT,LAD,0,0,0,54.00,1,0,0,0,0,0,1,0.1,5,1,3,2,0,2,0,0,0,0,0,
