Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Cole Irvin,2022-07-10,OAK,HOU,1,0,1,3.00,1,1,0,0,0,0,0,6.0,23,5,2,2,0,0,0,0,0,0,2,61
Cole Irvin,2022-07-04,OAK,TOR,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,4,1,1,0,0,0,0,0,0,4,80
Cole Irvin,2022-06-29,OAK,@NYY,1,0,1,6.43,1,1,0,0,0,0,0,7.0,27,6,5,5,2,1,0,0,0,0,5,45
Cole Irvin,2022-06-24,OAK,@KCR,1,0,1,5.06,1,1,0,0,0,0,0,5.1,24,7,3,3,2,2,0,0,0,0,4,36
Cole Irvin,2022-06-18,OAK,KCR,1,0,1,1.42,1,1,0,0,0,0,0,6.1,25,3,1,1,0,2,0,1,0,0,6,70
Cole Irvin,2022-06-12,OAK,@CLE,1,0,1,6.35,1,1,0,0,0,0,0,5.2,24,6,5,4,0,1,1,0,0,0,3,47
Cole Irvin,2022-06-07,OAK,@ATL,1,0,0,3.38,1,1,0,0,0,0,0,5.1,23,7,2,2,2,1,0,0,0,0,6,43
Cole Irvin,2022-06-01,OAK,HOU,1,0,0,1.59,1,1,0,0,0,0,0,5.2,25,6,1,1,0,2,0,0,1,0,2,56
Cole Irvin,2022-05-27,OAK,TEX,1,0,0,2.84,1,1,0,0,0,0,0,6.1,23,6,3,2,0,0,0,0,0,0,4,60
Cole Irvin,2022-05-22,OAK,@LAA,1,0,1,4.50,1,1,0,0,0,0,0,6.0,28,8,3,3,1,2,0,0,0,0,4,44
Cole Irvin,2022-04-30,OAK,CLE,1,0,0,1.50,1,1,0,0,0,0,0,6.0,23,6,1,1,0,2,0,0,0,0,4,60
Cole Irvin,2022-04-24,OAK,TEX,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,1,0,0,0,2,0,0,0,0,4,67
Cole Irvin,2022-04-19,OAK,BAL,1,0,0,1.80,1,1,0,0,0,0,0,5.0,23,6,1,1,0,2,0,0,0,0,4,54
Cole Irvin,2022-04-14,OAK,@TBR,1,1,0,4.26,1,1,0,0,0,0,0,6.1,23,5,3,3,1,0,0,0,0,0,2,54
Cole Irvin,2022-04-09,OAK,@PHI,1,0,1,6.75,1,1,0,0,0,0,0,5.1,25,7,4,4,3,1,0,1,0,0,4,29
Cole Irvin,2021-10-03,OAK,@HOU,1,0,0,6.00,1,1,0,0,0,0,0,6.0,23,5,4,4,3,1,0,0,0,0,4,39
Cole Irvin,2021-09-27,OAK,@SEA,1,0,1,15.00,1,1,0,0,0,0,0,3.0,17,6,5,5,0,3,0,0,0,0,4,30
Cole Irvin,2021-09-22,OAK,SEA,1,0,1,5.40,1,1,0,0,0,0,0,5.0,25,7,3,3,2,3,0,0,1,0,5,35
Cole Irvin,2021-09-17,OAK,@LAA,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,7,4,1,1,1,0,0,0,0,3,46
Cole Irvin,2021-09-11,OAK,TEX,1,0,0,2.57,1,1,0,0,0,0,0,7.0,28,6,2,2,0,1,0,0,0,0,8,71
Cole Irvin,2021-09-05,OAK,@TOR,1,0,1,27.00,1,1,0,0,0,0,0,2.1,15,8,7,7,2,0,0,0,0,0,2,8
Cole Irvin,2021-08-31,OAK,@DET,1,0,0,5.79,1,1,0,0,0,0,0,4.2,22,7,3,3,3,2,0,0,0,0,2,26
Cole Irvin,2021-08-24,OAK,SEA,1,0,1,9.00,1,1,0,0,0,0,0,3.0,17,7,3,3,0,2,0,0,0,0,0,32
Cole Irvin,2021-08-19,OAK,@CHW,1,1,0,4.50,1,1,0,0,0,0,0,6.0,28,7,3,3,1,4,0,0,0,0,1,41
Cole Irvin,2021-08-13,OAK,@TEX,1,0,1,5.40,1,1,0,0,0,0,0,5.0,25,8,5,3,0,1,0,0,0,0,2,40
Cole Irvin,2021-08-07,OAK,TEX,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,4,2,2,1,2,0,0,0,0,4,63
Cole Irvin,2021-07-31,OAK,@LAA,1,0,1,1.42,1,1,0,0,0,0,0,6.1,26,5,1,1,0,1,0,0,0,0,6,70
Cole Irvin,2021-07-25,OAK,@SEA,1,0,1,9.00,1,1,0,0,0,0,0,4.0,19,5,4,4,0,1,0,1,0,0,3,44
Cole Irvin,2021-07-19,OAK,LAA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,7,0,0,0,1,0,0,0,0,3,70
Cole Irvin,2021-07-09,OAK,@TEX,1,0,1,5.40,1,1,0,0,0,0,0,5.0,20,3,3,3,0,0,0,3,0,0,5,61
Cole Irvin,2021-07-03,OAK,BOS,1,0,0,2.57,1,1,0,0,0,0,0,7.0,29,5,4,2,1,2,0,0,0,0,5,56
Cole Irvin,2021-06-27,OAK,@SFG,1,1,0,0.00,1,1,0,0,0,0,0,8.0,29,3,0,0,0,2,0,1,0,0,8,87
Cole Irvin,2021-06-22,OAK,@TEX,1,1,0,5.40,1,1,0,0,0,0,0,5.0,23,7,4,3,0,1,0,1,0,0,4,47
Cole Irvin,2021-06-16,OAK,LAA,1,0,0,6.35,1,1,0,0,0,0,0,5.2,27,9,4,4,1,2,0,0,0,0,2,37
Cole Irvin,2021-06-11,OAK,KCR,1,0,0,1.50,1,1,0,0,0,0,0,6.0,23,6,2,1,1,0,0,0,0,0,4,57
Cole Irvin,2021-06-05,OAK,@COL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,24,6,1,1,0,1,0,0,0,0,5,65
Cole Irvin,2021-05-30,OAK,LAA,1,0,1,6.00,1,1,0,0,0,0,0,6.0,25,6,4,4,1,0,0,0,0,0,3,50
Cole Irvin,2021-05-25,OAK,SEA,1,0,1,7.71,1,1,0,0,0,0,0,4.2,24,10,4,4,0,1,0,0,0,0,2,37
Cole Irvin,2021-05-20,OAK,HOU,1,0,1,9.00,1,1,0,0,0,0,0,5.0,24,8,5,5,1,2,0,0,0,0,1,31
Cole Irvin,2021-05-15,OAK,@MIN,1,0,0,1.35,1,1,0,0,0,0,0,6.2,27,5,1,1,0,2,0,0,0,0,2,66
Cole Irvin,2021-05-09,OAK,TBR,1,0,1,4.50,1,1,0,0,0,0,0,6.0,24,4,4,3,2,1,0,0,0,0,3,46
Cole Irvin,2021-05-04,OAK,TOR,1,1,0,1.13,1,1,0,0,0,0,0,8.0,27,3,1,1,0,1,0,0,0,0,9,87
Cole Irvin,2021-04-28,OAK,@TBR,1,0,1,3.00,1,1,0,0,0,0,0,6.0,24,7,2,2,1,1,0,0,0,0,8,57
Cole Irvin,2021-04-23,OAK,@BAL,1,1,0,1.69,1,1,0,0,0,0,0,5.1,25,8,1,1,0,1,0,0,0,0,6,58
Cole Irvin,2021-04-17,OAK,DET,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,4,0,0,0,0,0,1,1,0,6,75
Cole Irvin,2021-04-08,OAK,@HOU,1,0,1,6.75,1,1,0,0,0,0,0,5.1,23,5,4,4,2,1,0,0,0,0,3,40
Cole Irvin,2021-04-03,OAK,HOU,1,0,1,8.31,1,1,0,0,0,0,0,4.1,22,7,4,4,0,1,0,2,1,0,2,41
Cole Irvin,2020-08-21,PHI,@ATL,0,0,0,16.20,1,0,0,0,0,0,0,1.2,10,4,3,3,1,1,0,0,0,0,3,
Cole Irvin,2020-08-09,PHI,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
Cole Irvin,2020-07-26,PHI,MIA,0,0,1,36.00,1,0,0,0,0,0,0,1.0,8,5,4,4,0,0,0,0,0,0,1,
