Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Colin Poche,2022-07-11,TBR,BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-07-09,TBR,@CIN,0,0,0,0.00,1,0,0,0,0,0,1,0.2,4,1,0,0,0,1,0,0,0,0,1,
Colin Poche,2022-07-08,TBR,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Colin Poche,2022-07-05,TBR,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Colin Poche,2022-06-24,TBR,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-06-22,TBR,NYY,0,0,0,13.50,1,0,0,0,0,1,0,0.2,4,1,1,1,1,1,0,0,0,0,0,
Colin Poche,2022-06-21,TBR,NYY,0,0,0,18.00,1,0,0,0,1,0,0,1.0,5,1,2,2,1,1,0,0,0,0,1,
Colin Poche,2022-06-18,TBR,@BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-06-16,TBR,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-06-12,TBR,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,1,
Colin Poche,2022-06-07,TBR,STL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,0,0,1,0,0,1,
Colin Poche,2022-06-03,TBR,CHW,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-06-01,TBR,@TEX,0,1,0,0.00,1,0,0,0,0,0,1,1.0,6,1,1,0,0,2,0,0,0,0,1,
Colin Poche,2022-05-29,TBR,NYY,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,1,0,0,0,1,0,0,
Colin Poche,2022-05-28,TBR,NYY,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Colin Poche,2022-05-25,TBR,MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,7,2,1,0,0,1,0,0,0,0,1,
Colin Poche,2022-05-21,TBR,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-05-20,TBR,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Colin Poche,2022-05-18,TBR,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-05-15,TBR,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Colin Poche,2022-05-14,TBR,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-05-11,TBR,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-05-10,TBR,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-05-07,TBR,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-05-05,TBR,@SEA,0,0,0,6.75,1,0,0,0,0,1,0,1.1,5,1,1,1,1,1,0,0,0,0,0,
Colin Poche,2022-05-04,TBR,@OAK,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Colin Poche,2022-04-28,TBR,SEA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Colin Poche,2022-04-27,TBR,SEA,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Colin Poche,2022-04-24,TBR,BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Colin Poche,2022-04-22,TBR,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
