Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Corey Knebel,2022-07-09,PHI,@STL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,0,0,0,0,1,0,0,0,0,1,
Corey Knebel,2022-07-06,PHI,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-07-03,PHI,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Corey Knebel,2022-07-02,PHI,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Corey Knebel,2022-06-28,PHI,ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-06-26,PHI,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-06-25,PHI,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Corey Knebel,2022-06-22,PHI,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Corey Knebel,2022-06-19,PHI,@WSN,0,0,0,13.50,1,0,0,0,0,0,0,1.1,9,2,2,2,1,3,1,0,0,0,0,
Corey Knebel,2022-06-17,PHI,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Corey Knebel,2022-06-14,PHI,MIA,0,0,1,9.00,1,0,0,0,0,0,1,0.0,4,2,3,1,0,2,0,0,0,0,0,
Corey Knebel,2022-06-10,PHI,ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-06-07,PHI,@MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,6,0,0,0,0,3,0,0,0,0,1,
Corey Knebel,2022-06-05,PHI,LAA,0,1,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,
Corey Knebel,2022-06-01,PHI,SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-05-30,PHI,SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,2,1,1,1,0,0,0,0,0,0,
Corey Knebel,2022-05-29,PHI,@NYM,0,0,1,6.75,1,0,0,0,0,0,1,1.1,7,2,2,1,1,1,1,0,0,0,2,
Corey Knebel,2022-05-26,PHI,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,1,0,1,
Corey Knebel,2022-05-23,PHI,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-05-22,PHI,LAD,0,1,0,0.00,1,0,0,0,0,0,0,1.0,6,1,1,0,0,2,1,0,0,0,1,
Corey Knebel,2022-05-18,PHI,SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Corey Knebel,2022-05-15,PHI,@LAD,0,0,1,27.00,1,0,0,0,0,0,1,0.2,5,2,2,2,0,1,0,0,0,0,0,
Corey Knebel,2022-05-12,PHI,@LAD,0,0,0,0.00,1,0,0,0,1,0,0,1.0,6,1,0,0,0,2,0,0,0,0,0,
Corey Knebel,2022-05-11,PHI,@SEA,0,0,0,0.00,1,0,0,0,1,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Corey Knebel,2022-05-08,PHI,NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Corey Knebel,2022-05-05,PHI,NYM,0,0,1,40.50,1,0,0,0,0,0,1,0.2,6,4,3,3,0,0,0,0,0,0,1,
Corey Knebel,2022-05-04,PHI,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,1,0,0,1,
Corey Knebel,2022-04-30,PHI,@NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
Corey Knebel,2022-04-27,PHI,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-04-24,PHI,MIL,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,0,
Corey Knebel,2022-04-22,PHI,MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-04-20,PHI,@COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-04-18,PHI,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Corey Knebel,2022-04-14,PHI,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
