Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Daniel Bard,2022-07-10,COL,@ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2022-07-07,COL,@ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Daniel Bard,2022-07-06,COL,@LAD,0,0,1,9.00,1,0,0,0,0,0,0,0.0,4,2,1,1,0,1,0,0,0,0,0,
Daniel Bard,2022-07-03,COL,ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,6,1,0,0,0,2,1,0,0,0,2,
Daniel Bard,2022-06-28,COL,LAD,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Daniel Bard,2022-06-24,COL,@MIN,0,0,0,0.00,1,0,0,0,1,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Daniel Bard,2022-06-18,COL,SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Daniel Bard,2022-06-14,COL,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Daniel Bard,2022-06-12,COL,@SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Daniel Bard,2022-06-11,COL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Daniel Bard,2022-06-08,COL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Daniel Bard,2022-06-07,COL,@SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2022-06-04,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2022-06-03,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Daniel Bard,2022-06-01,COL,MIA,0,1,0,0.00,1,0,0,0,0,0,0,2.0,9,0,1,0,0,4,0,0,0,0,0,
Daniel Bard,2022-05-28,COL,@WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Daniel Bard,2022-05-24,COL,@PIT,0,1,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,3,
Daniel Bard,2022-05-18,COL,SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Daniel Bard,2022-05-16,COL,SFG,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
Daniel Bard,2022-05-15,COL,KCR,0,0,1,18.00,1,0,0,0,0,0,1,1.0,7,2,2,2,0,2,0,0,1,0,1,
Daniel Bard,2022-05-11,COL,@SFG,0,0,0,27.00,1,0,0,0,0,0,0,0.1,6,1,2,1,0,2,0,1,0,0,1,
Daniel Bard,2022-05-07,COL,@ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Daniel Bard,2022-05-05,COL,WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Daniel Bard,2022-05-04,COL,WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2022-04-30,COL,CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2022-04-27,COL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2022-04-19,COL,PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Daniel Bard,2022-04-16,COL,CHC,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Daniel Bard,2022-04-15,COL,CHC,0,0,0,9.00,1,0,0,0,1,0,0,1.0,5,2,1,1,0,0,0,0,1,0,1,
Daniel Bard,2022-04-12,COL,@TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,0,0,1,0,0,0,
Daniel Bard,2022-04-11,COL,@TEX,0,1,0,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,1,0,0,0,0,0,1,
Daniel Bard,2022-04-09,COL,LAD,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Daniel Bard,2021-10-03,COL,@ARI,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,0,1,1,0,1,0,0,1,0,1,
Daniel Bard,2021-09-29,COL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,3,
Daniel Bard,2021-09-26,COL,SFG,0,0,1,40.50,1,0,0,0,0,0,0,0.2,5,1,3,3,0,2,0,0,0,0,2,
Daniel Bard,2021-09-25,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Daniel Bard,2021-09-23,COL,LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Daniel Bard,2021-09-22,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,0,0,0,
Daniel Bard,2021-09-18,COL,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Daniel Bard,2021-09-15,COL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,2,0,0,0,0,0,
Daniel Bard,2021-09-14,COL,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,0,0,0,0,0,1,
Daniel Bard,2021-09-10,COL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,2,
Daniel Bard,2021-09-07,COL,SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,1,0,0,1,
Daniel Bard,2021-09-04,COL,ATL,0,0,0,27.00,1,0,0,0,0,1,0,0.1,4,1,1,1,0,2,0,0,0,0,0,
Daniel Bard,2021-09-01,COL,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,1,0,0,0,0,2,
Daniel Bard,2021-08-31,COL,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Daniel Bard,2021-08-28,COL,@LAD,0,0,1,27.00,1,0,0,0,0,0,0,0.0,4,2,3,3,0,2,0,0,0,0,0,
Daniel Bard,2021-08-27,COL,@LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Daniel Bard,2021-08-25,COL,@CHC,0,0,0,81.00,1,0,0,0,0,0,1,0.1,4,3,3,3,1,0,0,0,0,0,0,
Daniel Bard,2021-08-23,COL,@CHC,0,0,1,54.00,1,0,0,0,0,0,0,0.1,3,2,2,2,1,0,0,0,0,0,1,
Daniel Bard,2021-08-21,COL,ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,1,0,0,0,0,
Daniel Bard,2021-08-18,COL,SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Daniel Bard,2021-08-16,COL,SDP,0,1,0,27.00,1,0,0,0,0,0,1,1.0,6,3,3,3,1,0,0,0,0,0,1,
Daniel Bard,2021-08-14,COL,@SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Daniel Bard,2021-08-07,COL,MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Daniel Bard,2021-08-05,COL,CHC,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
