Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Daniel Lynch,2022-07-11,KCR,DET,1,0,0,4.50,1,1,0,0,0,0,0,4.0,19,6,3,2,0,1,0,0,0,0,3,43
Daniel Lynch,2022-06-22,KCR,@LAA,1,0,1,1.93,1,1,0,0,0,0,0,4.2,22,3,1,1,0,5,0,0,1,0,5,53
Daniel Lynch,2022-06-17,KCR,@OAK,1,1,0,1.80,1,1,0,0,0,0,0,5.0,21,4,1,1,0,2,0,0,2,0,10,64
Daniel Lynch,2022-06-11,KCR,BAL,1,0,1,6.75,1,1,0,0,0,0,0,5.1,24,8,4,4,1,1,0,0,0,0,7,42
Daniel Lynch,2022-06-06,KCR,TOR,1,0,1,9.53,1,1,0,0,0,0,0,5.2,24,6,6,6,3,2,0,0,0,0,4,25
Daniel Lynch,2022-05-31,KCR,@CLE,1,0,1,13.50,1,1,0,0,0,0,0,4.0,25,9,6,6,1,3,2,1,0,0,2,17
Daniel Lynch,2022-05-26,KCR,@MIN,1,0,0,3.38,1,1,0,0,0,0,0,5.1,25,7,2,2,0,2,0,0,0,0,6,53
Daniel Lynch,2022-05-20,KCR,MIN,1,0,1,9.82,1,1,0,0,0,0,0,3.2,20,5,4,4,0,2,0,0,1,1,2,37
Daniel Lynch,2022-05-15,KCR,@COL,1,0,0,0.00,1,1,0,0,0,0,0,5.1,22,3,0,0,0,4,0,0,0,0,4,61
Daniel Lynch,2022-05-08,KCR,@BAL,1,0,1,4.91,1,1,0,0,0,0,0,3.2,19,4,3,2,0,4,0,0,0,0,5,41
Daniel Lynch,2022-05-01,KCR,NYY,1,0,0,5.40,1,1,0,0,0,0,0,5.0,20,4,3,3,1,1,0,0,0,0,4,48
Daniel Lynch,2022-04-26,KCR,@CHW,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,2,0,0,0,2,0,1,0,0,7,74
Daniel Lynch,2022-04-20,KCR,MIN,1,1,0,0.00,1,1,0,0,0,0,0,5.0,20,4,0,0,0,1,0,1,0,0,2,61
Daniel Lynch,2022-04-12,KCR,@STL,1,0,1,10.80,1,1,0,0,0,0,0,5.0,25,9,6,6,3,1,0,0,0,0,7,20
Daniel Lynch,2021-09-29,KCR,CLE,1,0,0,12.00,1,1,0,0,0,0,0,3.0,17,7,4,4,0,2,0,0,0,0,2,31
Daniel Lynch,2021-09-21,KCR,@CLE,1,0,1,6.00,1,1,0,0,0,0,0,6.0,25,4,4,4,1,3,0,1,1,0,5,50
Daniel Lynch,2021-09-16,KCR,OAK,1,0,1,4.50,1,1,0,0,0,0,0,2.0,11,2,3,1,0,1,0,2,0,0,1,39
Daniel Lynch,2021-09-10,KCR,@MIN,1,0,0,6.00,1,1,0,0,0,0,0,6.0,25,7,4,4,2,0,0,0,0,0,4,43
Daniel Lynch,2021-09-04,KCR,CHW,1,0,1,20.25,1,1,0,0,0,0,0,2.2,16,5,6,6,2,3,0,0,0,0,3,14
Daniel Lynch,2021-08-28,KCR,@SEA,1,0,0,1.93,1,1,0,0,0,0,0,4.2,24,7,1,1,0,3,0,0,0,0,4,50
Daniel Lynch,2021-08-23,KCR,@HOU,1,1,0,1.80,1,1,0,0,0,0,0,5.0,24,6,1,1,0,3,0,0,0,0,5,55
Daniel Lynch,2021-08-17,KCR,HOU,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,4,1,1,0,3,0,0,0,0,5,71
Daniel Lynch,2021-08-10,KCR,NYY,1,0,0,5.79,1,1,0,0,0,0,0,4.2,22,4,3,3,1,4,0,0,2,0,6,44
Daniel Lynch,2021-08-05,KCR,@CHW,1,1,0,1.80,1,1,0,0,0,0,0,5.0,22,4,1,1,1,2,0,1,0,0,7,57
Daniel Lynch,2021-07-30,KCR,@TOR,1,0,1,4.50,1,1,0,0,0,0,0,6.0,26,7,3,3,1,2,0,0,1,0,2,46
Daniel Lynch,2021-07-25,KCR,DET,1,1,0,0.00,1,1,0,0,0,0,0,8.0,28,5,0,0,0,0,0,0,0,0,4,83
Daniel Lynch,2021-05-13,KCR,@DET,1,0,1,10.13,1,1,0,0,0,0,0,2.2,15,7,4,3,0,0,0,0,0,0,4,35
Daniel Lynch,2021-05-08,KCR,CHW,1,0,1,108.00,1,1,0,0,0,0,0,0.2,10,7,8,8,1,1,0,0,0,0,0,-1
Daniel Lynch,2021-05-03,KCR,CLE,1,0,0,5.79,1,1,0,0,0,0,0,4.2,21,4,3,3,0,4,0,0,0,1,3,47
