Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Danny Duffy,2021-07-16,KCR,BAL,1,0,0,2.25,1,1,0,0,0,0,0,4.0,14,2,1,1,0,1,0,0,1,0,3,59
Danny Duffy,2021-07-08,KCR,@CLE,1,0,0,1.80,1,1,0,0,0,0,0,5.0,21,4,1,1,1,3,0,0,0,0,5,53
Danny Duffy,2021-07-03,KCR,MIN,1,0,0,4.50,1,1,0,0,0,0,0,4.0,20,6,2,2,0,2,1,0,0,0,2,45
Danny Duffy,2021-06-28,KCR,@BOS,1,0,0,10.80,1,1,0,0,0,0,0,3.1,15,5,4,4,3,1,0,0,0,0,2,21
Danny Duffy,2021-06-25,KCR,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Danny Duffy,2021-06-23,KCR,@NYY,1,0,0,0.00,1,1,0,0,0,0,0,2.0,9,0,0,0,0,3,0,0,0,0,4,51
Danny Duffy,2021-05-12,KCR,@DET,1,0,1,6.00,1,1,0,0,0,0,0,6.0,27,7,4,4,0,2,0,0,1,0,8,55
Danny Duffy,2021-05-06,KCR,CLE,1,0,1,4.76,1,1,0,0,0,0,0,5.2,25,8,3,3,0,1,0,0,1,0,6,54
Danny Duffy,2021-05-01,KCR,@MIN,1,1,0,1.29,1,1,0,0,0,0,0,7.0,27,2,1,1,1,3,0,0,0,0,7,71
Danny Duffy,2021-04-25,KCR,@DET,1,1,0,0.00,1,1,0,0,0,0,0,5.0,18,4,0,0,0,0,0,0,0,0,8,71
Danny Duffy,2021-04-19,KCR,TBR,1,0,1,0.00,1,1,0,0,0,0,0,6.0,24,4,2,0,0,2,0,0,0,0,8,67
Danny Duffy,2021-04-13,KCR,LAA,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,8,1,1,1,1,0,0,0,0,6,56
Danny Duffy,2021-04-05,KCR,@CLE,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,2,0,0,0,3,0,0,0,0,5,72
Danny Duffy,2020-09-25,KCR,DET,0,0,0,54.00,1,0,0,0,0,1,0,0.1,3,2,2,2,0,0,0,0,0,0,0,
Danny Duffy,2020-09-23,KCR,STL,1,1,0,1.59,1,1,0,0,0,0,0,5.2,23,6,1,1,0,1,0,0,1,0,5,64
Danny Duffy,2020-09-18,KCR,@MIL,1,0,1,14.73,1,1,0,0,0,0,0,3.2,19,7,6,6,2,2,0,0,0,0,5,21
Danny Duffy,2020-09-09,KCR,@CLE,1,1,0,0.00,1,1,0,0,0,0,0,5.2,25,4,0,0,0,4,0,0,0,0,4,64
Danny Duffy,2020-09-03,KCR,CHW,1,0,1,9.00,1,1,0,0,0,0,0,6.0,28,7,6,6,2,5,0,0,1,0,3,27
Danny Duffy,2020-08-28,KCR,@CHW,1,0,0,4.76,1,1,0,0,0,0,0,5.2,24,7,4,3,2,1,0,0,0,0,6,42
Danny Duffy,2020-08-21,KCR,MIN,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,4,1,1,0,2,0,0,0,0,6,63
Danny Duffy,2020-08-15,KCR,@MIN,1,1,0,1.80,1,1,0,0,0,0,0,5.0,19,2,2,1,1,1,0,0,1,0,8,62
Danny Duffy,2020-08-08,KCR,MIN,1,0,0,9.00,1,1,0,0,0,0,0,4.0,18,5,4,4,2,1,0,0,0,0,4,34
Danny Duffy,2020-08-03,KCR,@CHC,1,0,1,1.50,1,1,0,0,0,0,0,6.0,25,3,1,1,0,4,0,0,0,0,6,67
Danny Duffy,2020-07-29,KCR,@DET,1,0,0,7.20,1,1,0,0,0,0,0,5.0,21,3,4,4,1,1,0,1,0,0,8,54
Danny Duffy,2020-07-24,KCR,@CLE,1,0,1,4.15,1,1,0,0,0,0,0,4.1,17,3,2,2,0,0,0,1,0,0,2,58
