Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Domingo Germán,2021-10-01,NYY,TBR,0,0,0,13.50,1,0,0,0,0,0,0,1.1,7,1,2,2,0,2,0,0,0,0,3,
Domingo Germán,2021-07-31,NYY,@MIA,1,0,0,4.50,1,1,0,0,0,0,0,4.0,15,2,2,2,0,2,0,0,1,0,5,56
Domingo Germán,2021-07-25,NYY,@BOS,1,0,0,1.29,1,1,0,0,0,0,0,7.0,24,1,1,1,0,1,0,0,0,0,10,86
Domingo Germán,2021-07-20,NYY,PHI,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,3,2,2,1,3,0,0,0,1,5,46
Domingo Germán,2021-07-16,NYY,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Domingo Germán,2021-07-11,NYY,@HOU,0,0,0,9.00,1,0,0,0,0,1,0,2.0,8,3,2,2,0,0,0,0,0,0,2,
Domingo Germán,2021-07-07,NYY,@SEA,0,0,0,9.00,1,0,0,0,0,0,0,3.0,12,3,3,3,1,0,0,0,0,0,5,
Domingo Germán,2021-06-30,NYY,LAA,1,0,0,9.00,1,1,0,0,0,0,0,3.0,17,3,3,3,1,3,0,1,0,0,2,34
Domingo Germán,2021-06-25,NYY,@BOS,1,0,1,6.75,1,1,0,0,0,0,0,4.0,19,5,4,3,0,1,0,0,1,0,3,44
Domingo Germán,2021-06-19,NYY,OAK,1,0,0,9.00,1,1,0,0,0,0,0,4.0,21,7,4,4,2,2,0,0,0,0,6,29
Domingo Germán,2021-06-13,NYY,@PHI,1,0,1,14.54,1,1,0,0,0,0,0,4.1,23,10,7,7,0,1,0,0,0,0,2,26
Domingo Germán,2021-06-06,NYY,BOS,1,0,0,1.59,1,1,0,0,0,0,0,5.2,21,3,1,1,1,2,0,0,0,0,3,59
Domingo Germán,2021-06-01,NYY,TBR,1,0,0,5.40,1,1,0,0,0,0,0,5.0,19,3,3,3,2,0,0,0,0,0,5,49
Domingo Germán,2021-05-27,NYY,TOR,1,0,1,3.18,1,1,0,0,0,0,0,5.2,23,3,2,2,2,2,0,1,0,0,5,52
Domingo Germán,2021-05-20,NYY,@TEX,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,6,0,0,0,0,0,0,0,0,5,76
Domingo Germán,2021-05-15,NYY,@BAL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,22,4,1,1,0,2,0,0,0,0,6,68
Domingo Germán,2021-05-09,NYY,WSN,1,0,0,2.84,1,1,0,0,0,0,0,6.1,24,5,2,2,1,1,0,0,0,0,6,61
Domingo Germán,2021-05-04,NYY,HOU,1,0,0,5.40,1,1,0,0,0,0,0,5.0,19,4,3,3,2,1,0,0,0,0,6,46
Domingo Germán,2021-04-28,NYY,@BAL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,3,0,0,0,1,0,0,0,0,6,81
Domingo Germán,2021-04-22,NYY,@CLE,1,1,0,3.00,1,1,0,0,0,0,0,6.0,27,7,3,2,0,1,0,0,0,0,6,58
Domingo Germán,2021-04-10,NYY,@TBR,1,0,1,9.00,1,1,0,0,0,0,0,4.0,21,8,4,4,2,1,0,0,0,0,5,28
Domingo Germán,2021-04-04,NYY,TOR,1,0,1,9.00,1,1,0,0,0,0,0,3.0,15,4,3,3,2,1,0,0,1,0,2,30
