Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Dylan Bundy,2022-07-10,MIN,@TEX,1,1,0,7.20,1,1,0,0,0,0,0,5.0,22,6,4,4,0,2,0,0,0,0,4,45
Dylan Bundy,2022-07-04,MIN,@CHW,1,0,0,1.80,1,1,0,0,0,0,0,5.0,18,3,1,1,1,1,0,0,0,0,6,58
Dylan Bundy,2022-06-29,MIN,@CLE,1,0,0,3.60,1,1,0,0,0,0,0,5.0,21,6,3,2,0,1,0,0,0,0,1,47
Dylan Bundy,2022-06-24,MIN,COL,1,0,1,1.50,1,1,0,0,0,0,0,6.0,23,4,1,1,0,2,0,0,0,0,2,62
Dylan Bundy,2022-06-18,MIN,@ARI,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,4,1,1,0,0,0,0,0,0,7,83
Dylan Bundy,2022-06-09,MIN,NYY,1,0,0,9.00,1,1,0,0,0,0,0,4.0,18,5,4,4,2,1,0,0,0,0,1,28
Dylan Bundy,2022-06-04,MIN,@TOR,1,0,1,19.29,1,1,0,0,0,0,0,2.1,17,8,6,5,2,1,0,0,0,0,2,7
Dylan Bundy,2022-05-30,MIN,@DET,1,0,0,6.00,1,1,0,0,0,0,0,6.0,28,9,4,4,1,0,0,1,0,0,3,42
Dylan Bundy,2022-05-25,MIN,DET,1,0,0,1.59,1,1,0,0,0,0,0,5.2,23,5,1,1,1,1,0,0,0,0,6,58
Dylan Bundy,2022-05-17,MIN,@OAK,1,0,0,0.00,1,1,0,0,0,0,0,3.0,13,2,0,0,0,2,0,0,0,0,3,52
Dylan Bundy,2022-05-04,MIN,@BAL,1,0,1,22.09,1,1,0,0,0,0,0,3.2,23,11,9,9,2,2,0,0,0,0,3,-1
Dylan Bundy,2022-04-29,MIN,@TBR,1,0,1,9.00,1,1,0,0,0,0,0,6.0,26,7,6,6,2,2,0,0,0,0,7,34
Dylan Bundy,2022-04-23,MIN,CHW,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,4,0,0,0,0,0,0,0,0,4,65
Dylan Bundy,2022-04-18,MIN,@BOS,1,1,0,1.69,1,1,0,0,0,0,0,5.1,21,5,1,1,0,0,0,0,0,0,6,64
Dylan Bundy,2022-04-11,MIN,SEA,1,1,0,0.00,1,1,0,0,0,0,0,5.0,18,1,0,0,0,1,0,0,0,0,2,67
Dylan Bundy,2021-08-24,LAA,@BAL,1,0,0,6.75,1,1,0,0,0,0,0,1.1,9,1,1,1,1,3,0,1,0,0,3,35
Dylan Bundy,2021-08-17,LAA,@DET,1,0,0,3.86,1,1,0,0,0,0,0,4.2,19,3,2,2,0,2,0,0,0,0,3,56
Dylan Bundy,2021-08-11,LAA,TOR,1,0,1,6.75,1,1,0,0,0,0,0,4.0,16,4,3,3,2,0,0,0,0,0,2,38
Dylan Bundy,2021-08-05,LAA,@TEX,1,1,0,0.00,1,1,0,0,0,0,0,6.1,24,3,0,0,0,2,0,0,0,0,6,75
Dylan Bundy,2021-07-29,LAA,OAK,1,0,1,6.23,1,1,0,0,0,0,0,4.1,20,2,3,3,0,4,0,1,0,0,2,48
Dylan Bundy,2021-07-20,LAA,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Dylan Bundy,2021-07-16,LAA,SEA,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,3,1,1,1,0,0,0,0,0,1,
Dylan Bundy,2021-07-05,LAA,BOS,0,0,0,10.80,1,0,0,0,0,0,0,1.2,9,1,3,2,1,2,0,0,0,0,2,
Dylan Bundy,2021-06-30,LAA,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,3,
