Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Dylan Lee,2022-07-11,ATL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,2,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-07-10,ATL,WSN,0,0,0,13.50,1,0,0,0,0,0,1,0.2,3,1,1,1,1,0,0,0,0,0,1,
Dylan Lee,2022-07-07,ATL,STL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-07-04,ATL,STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-06-28,ATL,@PHI,0,0,0,13.50,1,0,0,0,0,0,1,0.2,3,1,1,1,1,0,0,0,0,0,0,
Dylan Lee,2022-06-26,ATL,LAD,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-06-24,ATL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-06-21,ATL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,0,
Dylan Lee,2022-06-13,ATL,@WSN,0,1,0,3.86,1,0,0,0,0,0,0,2.1,9,2,1,1,1,0,0,0,0,0,3,
Dylan Lee,2022-06-10,ATL,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Dylan Lee,2022-06-05,ATL,@COL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Dylan Lee,2022-06-02,ATL,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-05-30,ATL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,1,0,0,0,0,0,0,0,0,
Dylan Lee,2022-05-28,ATL,MIA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,2,
Dylan Lee,2022-05-26,ATL,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Dylan Lee,2022-05-23,ATL,PHI,0,0,0,0.00,1,0,0,0,0,0,0,2.2,9,0,0,0,0,1,0,0,0,0,2,
Dylan Lee,2021-10-02,ATL,NYM,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,1,0,0,0,0,0,2,
Dylan Lee,2021-10-01,ATL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
