Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Griffin Jax,2022-07-10,MIN,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Griffin Jax,2022-07-09,MIN,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Griffin Jax,2022-07-06,MIN,@CHW,0,0,0,9.00,1,0,0,0,0,0,1,1.0,6,3,1,1,0,0,0,0,0,0,1,
Griffin Jax,2022-07-04,MIN,@CHW,0,0,0,4.50,1,0,0,0,0,0,1,2.0,7,2,1,1,0,0,0,1,0,0,0,
Griffin Jax,2022-06-29,MIN,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Griffin Jax,2022-06-28,MIN,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,1,
Griffin Jax,2022-06-25,MIN,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Griffin Jax,2022-06-22,MIN,CLE,0,0,1,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,0,0,0,0,0,0,0,
Griffin Jax,2022-06-21,MIN,CLE,0,0,1,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,1,0,0,0,0,2,
Griffin Jax,2022-06-19,MIN,@ARI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Griffin Jax,2022-06-15,MIN,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Griffin Jax,2022-06-13,MIN,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Griffin Jax,2022-06-10,MIN,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Griffin Jax,2022-06-08,MIN,NYY,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,1,0,0,0,0,0,0,0,0,2,
Griffin Jax,2022-06-05,MIN,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Griffin Jax,2022-06-03,MIN,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Griffin Jax,2022-05-31,MIN,@DET,0,0,0,0.00,1,0,0,0,0,0,0,2.1,9,2,0,0,0,0,0,0,0,0,2,
Griffin Jax,2022-05-29,MIN,KCR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,1,0,0,1,0,2,
Griffin Jax,2022-05-25,MIN,DET,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,0,0,0,0,2,0,0,0,0,0,
Griffin Jax,2022-05-23,MIN,DET,0,0,0,9.00,1,0,0,0,0,0,0,2.0,9,3,2,2,1,0,0,0,0,0,1,
