Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
JT Chargois,2022-04-08,TBR,BAL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-10-03,TBR,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
JT Chargois,2021-09-28,TBR,@HOU,0,0,0,0.00,1,0,0,0,0,0,1,0.0,2,0,0,0,0,2,0,0,0,0,0,
JT Chargois,2021-09-26,TBR,MIA,0,0,0,9.00,1,0,0,0,0,1,0,1.0,6,2,1,1,0,0,0,1,0,0,1,
JT Chargois,2021-09-22,TBR,TOR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
JT Chargois,2021-09-20,TBR,TOR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
JT Chargois,2021-09-18,TBR,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
JT Chargois,2021-09-16,TBR,DET,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,2,
JT Chargois,2021-09-14,TBR,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-09-12,TBR,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-09-08,TBR,@BOS,0,0,1,9.00,1,0,0,0,0,0,1,1.0,6,2,1,1,1,1,1,0,0,0,0,
JT Chargois,2021-09-06,TBR,@BOS,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,2,1,0,0,0,0,
JT Chargois,2021-09-05,TBR,MIN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-09-01,TBR,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
JT Chargois,2021-08-29,TBR,@BAL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
JT Chargois,2021-08-28,TBR,@BAL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-08-25,TBR,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-08-24,TBR,@PHI,0,1,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-08-21,TBR,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-08-20,TBR,CHW,0,0,0,9.00,1,0,0,0,0,0,1,1.0,6,1,1,1,1,1,1,0,0,0,1,
JT Chargois,2021-08-15,TBR,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,3,
JT Chargois,2021-08-12,TBR,@BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-08-08,TBR,@BAL,0,1,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,1,0,0,0,0,0,
JT Chargois,2021-08-04,TBR,SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
JT Chargois,2021-08-03,TBR,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
JT Chargois,2021-07-30,TBR,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-07-28,SEA,HOU,0,0,0,81.00,1,0,0,0,0,0,0,0.1,4,3,3,3,0,0,0,0,0,0,0,
JT Chargois,2021-07-25,SEA,OAK,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-07-24,SEA,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,1,0,0,0,0,1,
JT Chargois,2021-07-22,SEA,OAK,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,1,0,1,0,0,1,
JT Chargois,2021-07-20,SEA,@COL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-07-18,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-07-11,SEA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
JT Chargois,2021-07-09,SEA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-07-07,SEA,NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-06-30,SEA,@TOR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,3,1,1,0,1,0,0,0,0,1,
JT Chargois,2021-06-26,SEA,@CHW,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,1,1,1,0,1,0,1,0,0,0,
JT Chargois,2021-06-25,SEA,@CHW,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-06-22,SEA,COL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-06-19,SEA,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
JT Chargois,2021-06-17,SEA,TBR,0,0,0,9.00,1,0,0,0,0,0,0,2.0,8,2,2,2,1,0,0,1,0,0,2,
JT Chargois,2021-06-14,SEA,MIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,3,
JT Chargois,2021-06-09,SEA,@DET,0,1,0,0.00,1,0,0,0,0,0,1,1.0,3,0,1,0,0,0,0,0,1,0,2,
JT Chargois,2021-06-06,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-06-05,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
JT Chargois,2021-06-03,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
JT Chargois,2021-05-31,SEA,OAK,0,0,0,0.00,1,0,0,0,0,0,1,0.1,2,1,0,0,0,0,0,0,0,1,1,
JT Chargois,2021-05-30,SEA,TEX,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,1,0,1,
JT Chargois,2021-05-28,SEA,TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
