Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jake Cousins,2022-04-30,MIL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,0,0,0,0,3,
Jake Cousins,2022-04-29,MIL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Cousins,2022-04-25,MIL,SFG,0,0,1,18.00,1,0,0,0,0,0,0,1.0,7,2,2,2,1,2,1,0,0,0,2,
Jake Cousins,2022-04-17,MIL,STL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Jake Cousins,2022-04-16,MIL,STL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,2,0,0,
Jake Cousins,2022-04-12,MIL,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,3,
Jake Cousins,2022-04-10,MIL,@CHC,0,1,0,0.00,1,0,0,0,0,0,1,0.1,1,0,0,0,0,0,0,0,2,0,1,
Jake Cousins,2022-04-07,MIL,@CHC,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,0,0,0,1,0,0,2,
Jake Cousins,2021-09-23,MIL,STL,0,0,0,81.00,1,0,0,0,0,0,0,0.1,4,1,3,3,0,2,0,0,0,0,1,
Jake Cousins,2021-09-21,MIL,STL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,
Jake Cousins,2021-09-19,MIL,CHC,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jake Cousins,2021-09-15,MIL,@DET,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Jake Cousins,2021-09-14,MIL,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Cousins,2021-09-10,MIL,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Jake Cousins,2021-09-05,MIL,STL,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,2,2,2,1,1,0,0,0,0,0,
Jake Cousins,2021-09-01,MIL,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Jake Cousins,2021-08-31,MIL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,3,
Jake Cousins,2021-08-27,MIL,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,3,
Jake Cousins,2021-08-25,MIL,CIN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
Jake Cousins,2021-08-21,MIL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Jake Cousins,2021-08-20,MIL,WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,1,1,1,0,3,1,0,0,0,1,
Jake Cousins,2021-08-18,MIL,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
