Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jake Odorizzi,2022-07-10,HOU,@OAK,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,4,0,0,0,1,0,0,0,0,7,78
Jake Odorizzi,2022-07-04,HOU,KCR,1,0,0,11.25,1,1,0,0,0,0,0,4.0,22,9,5,5,1,1,0,0,0,0,3,25
Jake Odorizzi,2022-05-16,HOU,@BOS,1,0,0,1.80,1,1,0,0,0,0,0,5.0,19,3,2,1,0,1,0,0,0,0,4,59
Jake Odorizzi,2022-05-08,HOU,DET,1,1,0,0.00,1,1,0,0,0,0,0,5.0,18,1,0,0,0,2,0,0,1,0,5,68
Jake Odorizzi,2022-05-02,HOU,SEA,1,1,0,0.00,1,1,0,0,0,0,0,6.2,22,4,0,0,0,1,0,0,0,0,3,72
Jake Odorizzi,2022-04-26,HOU,@TEX,1,1,0,1.50,1,1,0,0,0,0,0,6.0,20,1,1,1,1,1,0,0,0,0,4,66
Jake Odorizzi,2022-04-20,HOU,LAA,1,0,1,40.50,1,1,0,0,0,0,0,0.2,8,2,6,3,0,4,0,0,0,0,2,15
Jake Odorizzi,2022-04-15,HOU,@SEA,1,0,1,8.31,1,1,0,0,0,0,0,4.1,23,8,4,4,0,3,0,1,0,0,1,32
Jake Odorizzi,2022-04-08,HOU,@LAA,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,6,2,2,0,0,0,0,1,0,2,47
Jake Odorizzi,2021-10-02,HOU,OAK,1,0,0,5.79,1,1,0,0,0,0,0,4.2,19,7,3,3,0,1,0,0,0,0,3,47
Jake Odorizzi,2021-09-26,HOU,@OAK,1,0,0,2.25,1,1,0,0,0,0,0,4.0,19,4,1,1,0,2,1,0,0,0,2,52
Jake Odorizzi,2021-09-13,HOU,@TEX,1,0,0,0.00,1,1,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,1,46
Jake Odorizzi,2021-09-07,HOU,SEA,1,0,0,3.60,1,1,0,0,0,0,0,5.0,20,5,2,2,0,0,0,0,0,0,3,58
Jake Odorizzi,2021-09-01,HOU,@SEA,1,0,1,1.80,1,1,0,0,0,0,0,5.0,20,2,1,1,0,2,0,1,0,0,7,67
Jake Odorizzi,2021-08-27,HOU,@TEX,1,0,0,3.60,1,1,0,0,0,0,0,5.0,22,6,2,2,1,0,0,1,0,0,5,52
Jake Odorizzi,2021-08-21,HOU,SEA,1,1,0,1.59,1,1,0,0,0,0,0,5.2,24,4,1,1,1,4,0,0,0,0,8,58
Jake Odorizzi,2021-08-16,HOU,@KCR,1,0,0,6.75,1,1,0,0,0,0,0,5.1,26,8,4,4,1,2,0,0,0,0,2,37
Jake Odorizzi,2021-08-10,HOU,COL,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,3,0,0,0,2,0,0,0,0,3,64
Jake Odorizzi,2021-08-04,HOU,@LAD,1,0,1,18.00,1,1,0,0,0,0,0,3.0,18,6,7,6,4,2,0,0,0,0,3,1
Jake Odorizzi,2021-07-28,HOU,@SEA,1,1,0,5.06,1,1,0,0,0,0,0,5.1,23,5,3,3,2,1,0,1,0,0,3,43
Jake Odorizzi,2021-07-23,HOU,TEX,1,0,0,5.79,1,1,0,0,0,0,0,4.2,20,4,3,3,0,2,0,0,0,0,6,54
Jake Odorizzi,2021-07-17,HOU,@CHW,1,0,1,10.80,1,1,0,0,0,0,0,3.1,19,6,4,4,2,4,0,0,0,0,1,18
Jake Odorizzi,2021-07-09,HOU,NYY,1,0,1,3.00,1,1,0,0,0,0,0,6.0,24,7,2,2,0,0,0,0,0,0,4,61
Jake Odorizzi,2021-07-03,HOU,@CLE,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,4,2,1,0,2,0,0,0,0,2,61
Jake Odorizzi,2021-06-27,HOU,@DET,1,0,0,0.00,1,1,0,0,0,0,0,5.0,18,2,0,0,0,1,0,0,0,0,3,68
Jake Odorizzi,2021-06-21,HOU,@BAL,1,1,0,0.00,1,1,0,0,0,0,0,5.0,16,0,0,0,0,1,0,0,0,0,9,78
Jake Odorizzi,2021-06-15,HOU,TEX,0,0,0,0.00,1,0,0,0,0,0,0,4.0,14,2,0,0,0,0,0,0,0,0,3,
Jake Odorizzi,2021-06-09,HOU,@BOS,1,1,0,5.40,1,1,0,0,0,0,0,5.0,19,3,3,3,1,1,0,0,0,0,6,54
Jake Odorizzi,2021-06-03,HOU,BOS,1,0,1,9.00,1,1,0,0,0,0,0,3.0,15,4,3,3,1,3,0,0,0,0,2,32
Jake Odorizzi,2021-05-29,HOU,SDP,1,0,0,1.69,1,1,0,0,0,0,0,5.1,20,3,1,1,0,1,0,0,0,0,4,66
Jake Odorizzi,2021-04-24,HOU,LAA,1,0,0,0.00,1,1,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,43
Jake Odorizzi,2021-04-18,HOU,@SEA,1,0,1,8.31,1,1,0,0,0,0,0,4.1,19,3,4,4,0,3,0,0,0,0,7,50
Jake Odorizzi,2021-04-13,HOU,DET,1,0,1,13.50,1,1,0,0,0,0,0,3.1,17,7,5,5,3,0,0,0,0,0,4,18
Jake Odorizzi,2020-09-16,MIN,@CHW,1,0,0,2.45,1,1,0,0,0,0,0,3.2,14,2,1,1,1,1,0,0,0,0,3,52
Jake Odorizzi,2020-08-21,MIN,@KCR,1,0,1,15.00,1,1,0,0,0,0,0,3.0,16,7,5,5,1,0,0,0,0,0,1,26
Jake Odorizzi,2020-08-15,MIN,KCR,1,0,0,4.50,1,1,0,0,0,0,0,4.0,15,3,2,2,1,0,0,0,0,0,6,54
Jake Odorizzi,2020-08-08,MIN,@KCR,1,0,0,6.00,1,1,0,0,0,0,0,3.0,15,4,2,2,1,2,0,1,0,0,2,38
