Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jarlín García,2022-07-11,SFG,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,2,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-07-07,SFG,@SDP,0,0,1,0.00,1,0,0,0,0,0,0,0.0,3,2,1,0,0,1,1,0,0,0,0,
Jarlín García,2022-07-06,SFG,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-07-03,SFG,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jarlín García,2022-07-02,SFG,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-06-26,SFG,CIN,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,4,3,2,0,1,0,0,0,0,1,
Jarlín García,2022-06-23,SFG,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,2,
Jarlín García,2022-06-19,SFG,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,1,
Jarlín García,2022-06-11,SFG,LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.1,6,2,1,0,0,0,0,0,0,0,1,
Jarlín García,2022-06-03,SFG,@MIA,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,1,1,1,1,0,0,0,0,0,2,
Jarlín García,2022-06-01,SFG,@PHI,0,0,1,108.00,1,0,0,0,0,0,1,0.1,5,4,4,4,2,0,0,0,1,0,0,
Jarlín García,2022-05-31,SFG,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Jarlín García,2022-05-24,SFG,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-05-23,SFG,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jarlín García,2022-05-21,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-05-13,SFG,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-05-11,SFG,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jarlín García,2022-05-10,SFG,COL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,1,
Jarlín García,2022-05-07,SFG,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Jarlín García,2022-05-05,SFG,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jarlín García,2022-05-01,SFG,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,1,
Jarlín García,2022-04-29,SFG,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,1,0,0,0,0,0,0,0,1,
Jarlín García,2022-04-26,SFG,OAK,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Jarlín García,2022-04-22,SFG,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Jarlín García,2022-04-19,SFG,@NYM,0,0,1,0.00,1,0,0,0,0,0,0,0.1,3,1,1,0,0,1,0,0,0,0,0,
Jarlín García,2022-04-16,SFG,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,2,0,0,0,0,0,
Jarlín García,2022-04-12,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jarlín García,2022-04-10,SFG,MIA,0,1,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Jarlín García,2021-10-03,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Jarlín García,2021-10-02,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Jarlín García,2021-09-29,SFG,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jarlín García,2021-09-25,SFG,@COL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Jarlín García,2021-09-23,SFG,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
