Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jason Foley,2022-07-11,DET,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Jason Foley,2022-07-09,DET,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Jason Foley,2022-07-08,DET,@CHW,0,0,0,40.50,1,0,0,0,0,0,0,0.2,5,2,3,3,0,1,0,0,0,0,0,
Jason Foley,2022-07-05,DET,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,0,0,0,
Jason Foley,2022-07-03,DET,KCR,0,0,0,13.50,1,0,0,0,0,0,0,0.2,6,2,1,1,0,1,0,1,0,0,0,
Jason Foley,2022-07-01,DET,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,1,1,
Jason Foley,2022-06-26,DET,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,2,0,0,0,0,1,
Jason Foley,2022-06-22,DET,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Jason Foley,2022-06-21,DET,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Jason Foley,2022-06-18,DET,TEX,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,4,3,3,0,1,0,0,0,0,0,
Jason Foley,2022-06-15,DET,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
Jason Foley,2022-06-13,DET,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Jason Foley,2022-06-11,DET,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
