Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jimmy Nelson,2021-07-30,LAD,@ARI,0,0,1,0.00,1,0,0,0,0,0,0,0.1,2,1,1,0,0,0,0,0,0,0,0,
Jimmy Nelson,2021-07-27,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,0,0,2,0,0,1,
Jimmy Nelson,2021-07-25,LAD,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Jimmy Nelson,2021-07-06,LAD,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,0,0,1,
Jimmy Nelson,2021-07-04,LAD,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jimmy Nelson,2021-07-02,LAD,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jimmy Nelson,2021-06-25,LAD,CHC,0,0,0,27.00,1,0,0,0,0,1,0,0.1,3,1,1,1,0,1,0,0,0,0,0,
Jimmy Nelson,2021-06-22,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jimmy Nelson,2021-06-18,LAD,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jimmy Nelson,2021-06-14,LAD,PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jimmy Nelson,2021-06-11,LAD,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jimmy Nelson,2021-06-04,LAD,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jimmy Nelson,2021-05-20,LAD,ARI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,5,
Jimmy Nelson,2021-05-16,LAD,MIA,1,0,0,0.00,1,1,0,0,0,0,0,1.2,8,1,0,0,0,2,0,0,0,0,3,47
Jimmy Nelson,2021-05-12,LAD,SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Jimmy Nelson,2021-05-04,LAD,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Jimmy Nelson,2021-05-01,LAD,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Jimmy Nelson,2021-04-30,LAD,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,1,0,
Jimmy Nelson,2021-04-27,LAD,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,1,0,2,
Jimmy Nelson,2021-04-25,LAD,SDP,0,0,0,9.00,1,0,0,0,0,0,1,2.0,12,4,2,2,0,2,0,0,0,0,3,
Jimmy Nelson,2021-04-23,LAD,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Jimmy Nelson,2021-04-19,LAD,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jimmy Nelson,2021-04-17,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,1,0,3,
Jimmy Nelson,2021-04-15,LAD,COL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jimmy Nelson,2021-04-10,LAD,WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,1,0,0,2,
Jimmy Nelson,2021-04-07,LAD,@OAK,0,0,1,0.00,1,0,0,0,0,0,0,0.1,3,1,1,0,0,1,0,0,0,0,0,
Jimmy Nelson,2021-04-04,LAD,@COL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,3,
Jimmy Nelson,2021-04-01,LAD,@COL,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,1,2,2,0,2,0,0,2,0,1,
