Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jimmy Yacabonis,2022-07-11,MIA,PIT,0,0,0,18.00,1,0,0,0,0,0,0,1.0,8,4,2,2,1,1,0,0,0,0,1,
Jimmy Yacabonis,2022-07-07,MIA,@NYM,0,0,0,27.00,1,0,0,0,0,0,0,1.0,9,3,4,3,1,2,0,0,1,0,0,
Jimmy Yacabonis,2022-07-04,MIA,@WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Jimmy Yacabonis,2022-06-28,MIA,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Jimmy Yacabonis,2022-06-25,MIA,NYM,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
Jimmy Yacabonis,2022-06-24,MIA,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Jimmy Yacabonis,2022-06-21,MIA,COL,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,2,1,1,0,1,0,0,0,0,3,
Jimmy Yacabonis,2022-06-18,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,
Jimmy Yacabonis,2022-06-17,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jimmy Yacabonis,2020-09-14,SEA,OAK,1,0,1,6.75,1,1,0,0,0,0,0,1.1,10,2,1,1,0,3,0,1,0,0,1,38
Jimmy Yacabonis,2020-09-09,SEA,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
