Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Joe Kelly,2022-07-11,CHW,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Joe Kelly,2022-07-08,CHW,DET,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,2,1,1,0,1,0,0,0,0,0,
Joe Kelly,2022-07-04,CHW,MIN,0,0,1,40.50,1,0,0,0,0,0,0,0.2,6,2,4,3,0,2,0,0,0,0,1,
Joe Kelly,2022-07-02,CHW,@SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,2,0,0,0,0,2,
Joe Kelly,2022-07-01,CHW,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Kelly,2022-06-28,CHW,@LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,1,0,1,
Joe Kelly,2022-06-26,CHW,BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Joe Kelly,2022-06-20,CHW,TOR,0,0,0,18.00,1,0,0,0,1,0,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Joe Kelly,2022-06-14,CHW,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Joe Kelly,2022-05-25,CHW,BOS,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Joe Kelly,2022-05-22,CHW,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,2,0,0,0,0,0,0,0,0,0,2,
Joe Kelly,2022-05-19,CHW,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Joe Kelly,2022-05-17,CHW,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,6,1,0,0,0,2,0,0,0,0,2,
Joe Kelly,2022-05-14,CHW,NYY,0,0,0,27.00,1,0,0,0,0,1,0,0.1,4,3,1,1,0,0,0,0,0,0,0,
Joe Kelly,2022-05-12,CHW,NYY,0,0,1,67.50,1,0,0,0,0,0,0,0.2,7,1,5,5,0,4,0,0,0,0,1,
Joe Kelly,2022-05-09,CHW,CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Joe Kelly,2021-10-01,LAD,MIL,0,0,0,13.50,1,0,0,0,0,1,0,0.2,4,1,1,1,0,1,0,0,0,0,2,
Joe Kelly,2021-09-30,LAD,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,
Joe Kelly,2021-09-28,LAD,SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,0,0,1,0,0,2,
Joe Kelly,2021-09-26,LAD,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Kelly,2021-09-23,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Joe Kelly,2021-09-21,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,1,0,0,0,2,0,0,0,0,1,
Joe Kelly,2021-09-18,LAD,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Kelly,2021-09-15,LAD,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Joe Kelly,2021-09-11,LAD,SDP,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Joe Kelly,2021-09-09,LAD,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,1,1,
Joe Kelly,2021-09-07,LAD,@STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Kelly,2021-09-06,LAD,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Kelly,2021-09-03,LAD,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Joe Kelly,2021-09-01,LAD,ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
