Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
John Brebbia,2022-07-08,SFG,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,0,
John Brebbia,2022-07-06,SFG,@ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
John Brebbia,2022-07-05,SFG,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,1,
John Brebbia,2022-07-03,SFG,CHW,1,0,0,0.00,1,1,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,44
John Brebbia,2022-07-01,SFG,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
John Brebbia,2022-06-28,SFG,DET,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
John Brebbia,2022-06-26,SFG,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
John Brebbia,2022-06-24,SFG,CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
John Brebbia,2022-06-22,SFG,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
John Brebbia,2022-06-21,SFG,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,1,0,0,1,0,0,0,0,0,
John Brebbia,2022-06-18,SFG,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
John Brebbia,2022-06-15,SFG,KCR,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,0,0,0,0,0,0,
John Brebbia,2022-06-12,SFG,LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
