Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jonathan Loáisiga,2022-05-22,NYY,CHW,0,0,1,54.00,1,0,0,0,0,0,0,0.2,6,4,4,4,0,0,0,0,0,0,1,
Jonathan Loáisiga,2022-05-21,NYY,CHW,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,0,0,0,0,0,3,
Jonathan Loáisiga,2022-05-19,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,2,0,0,0,0,1,
Jonathan Loáisiga,2022-05-16,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Jonathan Loáisiga,2022-05-12,NYY,@CHW,0,1,0,18.00,1,0,0,0,0,0,1,1.0,5,1,2,2,1,1,0,0,0,0,0,
Jonathan Loáisiga,2022-05-10,NYY,TOR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,1,0,0,0,0,0,
Jonathan Loáisiga,2022-05-08,NYY,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,
Jonathan Loáisiga,2022-05-02,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Jonathan Loáisiga,2022-04-29,NYY,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jonathan Loáisiga,2022-04-28,NYY,BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,3,
Jonathan Loáisiga,2022-04-26,NYY,BAL,0,0,0,27.00,1,0,0,0,0,0,0,0.1,2,1,1,1,1,0,0,0,0,0,0,
Jonathan Loáisiga,2022-04-20,NYY,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jonathan Loáisiga,2022-04-17,NYY,@BAL,0,0,1,36.00,1,0,0,0,0,0,0,1.0,7,2,4,4,0,2,0,0,0,0,1,
Jonathan Loáisiga,2022-04-15,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,
Jonathan Loáisiga,2022-04-13,NYY,TOR,0,0,0,27.00,1,0,0,0,0,0,0,0.1,3,2,1,1,1,0,0,0,0,0,0,
Jonathan Loáisiga,2022-04-12,NYY,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Jonathan Loáisiga,2022-04-10,NYY,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,2,0,0,0,0,0,
Jonathan Loáisiga,2022-04-08,NYY,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Jonathan Loáisiga,2021-10-03,NYY,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Jonathan Loáisiga,2021-10-01,NYY,TBR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,0,0,1,
