Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jordan Montgomery,2022-07-09,NYY,@BOS,1,0,0,3.18,1,1,0,0,0,0,0,5.2,23,5,2,2,1,1,0,0,0,0,4,53
Jordan Montgomery,2022-07-03,NYY,@CLE,1,0,1,1.80,1,1,0,0,0,0,0,5.0,21,3,1,1,1,3,0,0,0,0,8,56
Jordan Montgomery,2022-06-27,NYY,OAK,1,0,0,6.75,1,1,0,0,0,0,0,6.2,29,6,5,5,0,1,0,1,0,0,6,56
Jordan Montgomery,2022-06-22,NYY,@TBR,1,0,0,6.00,1,1,0,0,0,0,0,6.0,26,9,4,4,2,2,0,0,0,0,2,31
Jordan Montgomery,2022-06-17,NYY,@TOR,1,1,0,3.00,1,1,0,0,0,0,0,6.0,23,3,2,2,1,1,0,1,0,0,5,60
Jordan Montgomery,2022-06-11,NYY,CHC,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,5,0,0,0,0,0,1,0,0,5,76
Jordan Montgomery,2022-06-05,NYY,DET,1,0,0,2.84,1,1,0,0,0,0,0,6.1,24,5,2,2,0,1,0,0,0,0,5,64
Jordan Montgomery,2022-05-31,NYY,LAA,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,4,1,1,1,1,0,0,0,0,4,66
Jordan Montgomery,2022-05-24,NYY,BAL,1,0,0,3.00,1,1,0,0,0,0,0,6.0,22,4,2,2,1,0,0,0,0,0,5,60
Jordan Montgomery,2022-05-19,NYY,@BAL,1,0,0,5.40,1,1,0,0,0,0,0,5.0,21,7,3,3,1,0,0,0,0,0,3,43
Jordan Montgomery,2022-05-14,NYY,@CHW,1,0,0,4.15,1,1,0,0,0,0,0,4.1,21,6,2,2,1,3,0,0,2,0,4,39
Jordan Montgomery,2022-05-08,NYY,TEX,1,0,0,3.00,1,1,0,0,0,0,0,6.0,22,4,2,2,1,0,0,1,0,0,5,60
Jordan Montgomery,2022-05-02,NYY,@TOR,1,0,0,3.60,1,1,0,0,0,0,0,5.0,20,6,2,2,0,0,0,0,0,0,5,56
Jordan Montgomery,2022-04-27,NYY,BAL,1,0,0,3.18,1,1,0,0,0,0,0,5.2,22,4,2,2,1,0,0,2,0,0,4,57
Jordan Montgomery,2022-04-21,NYY,@DET,1,0,1,1.50,1,1,0,0,0,0,0,6.0,23,3,1,1,0,2,0,0,0,0,5,67
Jordan Montgomery,2022-04-15,NYY,@BAL,1,0,0,0.00,1,1,0,0,0,0,0,5.0,20,3,0,0,0,2,0,0,0,0,2,61
Jordan Montgomery,2022-04-10,NYY,BOS,1,0,0,8.10,1,1,0,0,0,0,0,3.1,17,4,3,3,0,1,0,1,1,0,4,44
Jordan Montgomery,2021-10-02,NYY,TBR,1,0,1,23.63,1,1,0,0,0,0,0,2.2,17,6,7,7,3,3,0,0,0,0,3,3
Jordan Montgomery,2021-09-26,NYY,@BOS,1,0,0,1.80,1,1,0,0,0,0,0,5.0,21,7,1,1,0,0,0,0,0,0,4,58
Jordan Montgomery,2021-09-21,NYY,TEX,1,1,0,1.59,1,1,0,0,0,0,0,5.2,21,4,1,1,0,1,0,0,1,0,6,68
Jordan Montgomery,2021-09-16,NYY,@BAL,1,0,0,1.59,1,1,0,0,0,0,0,5.2,23,6,1,1,1,1,0,0,2,0,12,64
Jordan Montgomery,2021-09-10,NYY,@NYM,1,0,1,13.50,1,1,0,0,0,0,0,3.1,20,7,7,5,1,3,0,0,1,0,6,20
